group	te_class	n_enhancers	obs_pos	obs_neg	ref_prop	obs_prop	log2_obs_over_ref	z_value	p_value	direction	significant	depleted_significant	enriched_significant	label
Shadow	LTR	41	19	22	0.49514563106796117	0.4634146341463415	-0.09554930576326956	-0.40637418371696166	0.6844676855219286	depleted	False	False	False	ns
Shadow	LINE	41	15	26	0.22718446601941747	0.36585365853658536	0.6874024910706534	2.1190669453568685	0.034084809722933054	enriched	True	False	True	*
Shadow	SINE	41	0	41	0.0	0.0	0.0			enriched	False	False	False	ns
Shadow	Helitron/RC	41	8	33	0.1766990291262136	0.1951219512195122	0.14308197648291013	0.30928157514045435	0.7571073452813245	enriched	False	False	False	ns
Shadow	TIR	41	4	37	0.10097087378640776	0.0975609756097561	-0.049563100189200536	-0.07246835460117217	0.9422291886032473	depleted	False	False	False	ns
Single	LTR	170	33	137	0.24314765694076038	0.19411764705882353	-0.32490140970279563	-1.4902043168613832	0.1361705216764872	depleted	False	False	False	ns
Single	LINE	170	15	155	0.2410845859121721	0.08823529411764706	-1.4501116483935976	-4.659147746835849	3.1752124742198057e-06	depleted	True	True	False	***
Single	SINE	170	8	162	0.023872679045092837	0.047058823529411764	0.9791047459130285	1.9803829775347943	0.04766051123373293	enriched	True	False	True	*
Single	Helitron/RC	170	110	60	0.3380489242558208	0.6470588235294118	0.9366648140440184	8.517146705081842	1.6353229104347944e-17	enriched	True	False	True	***
Single	TIR	170	10	160	0.15384615384615385	0.058823529411764705	-1.3870231079609496	-3.4338671858805756	0.0005950356740111404	depleted	True	True	False	***
