comparison	te_class	observed	expected	obs_prop	ref_prop	chi_contribution
limb shadow observed enhancer-TE pairs vs shadow neighborhood TE opportunities	LTR	208.0	115.19782592871181	0.4482758620689655	0.2482711765704996	74.76046915752744
limb shadow observed enhancer-TE pairs vs shadow neighborhood TE opportunities	LINE	130.0	82.41283090287044	0.2801724137931034	0.1776138597044622	27.4779865934678
limb shadow observed enhancer-TE pairs vs shadow neighborhood TE opportunities	SINE	80.0	238.3216946109237	0.1724137931034483	0.5136243418338874	105.17615286932286
limb shadow observed enhancer-TE pairs vs shadow neighborhood TE opportunities	TIR	46.0	28.06764855749399	0.09913793103448276	0.06049062189115085	11.456935111569553
limb shadow observed enhancer-TE pairs vs genome TE inserts	LTR	208.0	123.40866642242818	0.4482758620689655	0.2659669534966125	57.98372127236244
limb shadow observed enhancer-TE pairs vs genome TE inserts	LINE	130.0	125.42446105666743	0.2801724137931034	0.27031133848419703	0.1669176526299298
limb shadow observed enhancer-TE pairs vs genome TE inserts	SINE	80.0	194.36446007862074	0.1724137931034483	0.41888892258323435	67.29229059563599
limb shadow observed enhancer-TE pairs vs genome TE inserts	TIR	46.0	20.802412442283636	0.09913793103448276	0.04483278543595611	30.52138402170257
limb single observed enhancer-TE pairs vs single neighborhood TE opportunities	LTR	114.0	49.815648874020084	0.5533980582524272	0.24182353822339842	82.69752623078958
limb single observed enhancer-TE pairs vs single neighborhood TE opportunities	LINE	54.0	31.26978578918461	0.2621359223300971	0.1517950766465272	16.5227431218366
limb single observed enhancer-TE pairs vs single neighborhood TE opportunities	SINE	23.0	115.58506016877217	0.11165048543689321	0.561092525091127	74.16177621864556
limb single observed enhancer-TE pairs vs single neighborhood TE opportunities	TIR	15.0	9.329505168023172	0.07281553398058252	0.04528886003894742	3.4465398818455384
limb single observed enhancer-TE pairs vs genome TE inserts	LTR	114.0	54.78919242030217	0.5533980582524272	0.2659669534966125	63.989257358370565
limb single observed enhancer-TE pairs vs genome TE inserts	LINE	54.0	55.68413572774459	0.2621359223300971	0.27031133848419703	0.05093574879806577
limb single observed enhancer-TE pairs vs genome TE inserts	SINE	23.0	86.29111805214627	0.11165048543689321	0.41888892258323435	46.42152882837845
limb single observed enhancer-TE pairs vs genome TE inserts	TIR	15.0	9.23555379980696	0.07281553398058252	0.04483278543595611	3.59792609248993
