group	te_class	obs_bp	obs_total_bp	local_bp	local_total_bp	obs_prop	local_prop	log2_obs_over_local	p_value	q_value	label	tissue
shadow	LTR	87143.0	198972.0	2141527.0	6258366.0	0.43796614599039063	0.342186283128855	0.35603742628790486	0.0	0.0	***	forebrain
shadow	LTR	280411.0	527482.0	5458576.0	16956886.0	0.531602974129923	0.3219091052449135	0.7236957900079116	0.0	0.0	***	heart
shadow	LTR	87531.0	188237.0	2007857.0	6138574.0	0.4650042233992254	0.32708850622310653	0.5075627537376289	0.0	0.0	***	limb
shadow	LTR	455085.0	914691.0	9607960.0	29353826.0	0.4975286736176479	0.32731542389056884	0.6040980848286737	0.0	0.0	***	pooled
shadow	LINE	87223.0	198972.0	1827096.0	6258366.0	0.43836821261282993	0.2919445746701296	0.5864486851526343	0.0	0.0	***	forebrain
shadow	LINE	181823.0	527482.0	4791014.0	16956886.0	0.3446999139307123	0.2825409099288631	0.2868811628450102	0.0	0.0	***	heart
shadow	LINE	61897.0	188237.0	1863863.0	6138574.0	0.32882483252495526	0.30363126680561314	0.11499889195600752	4.420849539193537e-121	4.420849539193537e-121	***	limb
shadow	LINE	330943.0	914691.0	8481973.0	29353826.0	0.36180852331552404	0.2889563016419052	0.32437506072353856	0.0	0.0	***	pooled
shadow	SINE	13379.0	198972.0	1991755.0	6258366.0	0.06724061677019882	0.3182547968591163	-2.2427773792356387	0.0	0.0	***	forebrain
shadow	SINE	35186.0	527482.0	5974532.0	16956886.0	0.06670559374537899	0.3523366259583275	-2.401074783577522	0.0	0.0	***	heart
shadow	SINE	20111.0	188237.0	1947942.0	6138574.0	0.10683871927410658	0.31732809606921736	-1.570540666516789	0.0	0.0	***	limb
shadow	SINE	68676.0	914691.0	9914229.0	29353826.0	0.07508109295926166	0.33774912340217594	-2.169430453406588	0.0	0.0	***	pooled
shadow	DNA-TIR	11227.0	198972.0	297988.0	6258366.0	0.056425024626580625	0.04761434534189915	0.24493884137599894	2.2111319548512167e-73	2.2111319548512167e-73	***	forebrain
shadow	DNA-TIR	30062.0	527482.0	732764.0	16956886.0	0.05699151819398576	0.04321335886789591	0.399269844579464	0.0	0.0	***	heart
shadow	DNA-TIR	18698.0	188237.0	318912.0	6138574.0	0.09933222480171273	0.051952130902062924	0.9350788866014523	0.0	0.0	***	limb
shadow	DNA-TIR	59987.0	914691.0	1349664.0	29353826.0	0.06558171010756637	0.04597915106535005	0.512313683388076	0.0	0.0	***	pooled
single	LTR	51857.0	90439.0	1155867.0	3225322.0	0.5733920100841451	0.35837259039562563	0.6780615008218193	0.0	0.0	***	forebrain
single	LTR	104426.0	186127.0	1969196.0	5724207.0	0.5610470270299311	0.3440120177345089	0.7056627361589894	0.0	0.0	***	heart
single	LTR	47166.0	82084.0	1000441.0	2886859.0	0.5746065006578627	0.34655000469368263	0.7295107748711053	0.0	0.0	***	limb
single	LTR	203449.0	358650.0	4125504.0	11836388.0	0.5672633486686184	0.34854416735916394	0.702677166421401	0.0	0.0	***	pooled
single	LINE	25475.0	90439.0	782006.0	3225322.0	0.2816815754265306	0.24245827238334652	0.21632872282030166	8.646409893860255e-162	1.1528546525147006e-161	***	forebrain
single	LINE	62088.0	186127.0	1517617.0	5724207.0	0.3335786855211764	0.26512266240546506	0.3313671120579622	0.0	0.0	***	heart
single	LINE	23585.0	82084.0	778458.0	2886859.0	0.2873276156132742	0.2696557053877588	0.09157810063893244	2.4881009390778053e-29	2.4881009390778053e-29	***	limb
single	LINE	111148.0	358650.0	3078081.0	11836388.0	0.30990659417259164	0.2600523909827897	0.25303114945832156	0.0	0.0	***	pooled
single	SINE	9125.0	90439.0	1180460.0	3225322.0	0.10089673702716748	0.36599756551438895	-1.8589545230537954	0.0	0.0	***	forebrain
single	SINE	9818.0	186127.0	2033154.0	5724207.0	0.0527489294943775	0.3551852684572728	-2.7513580022534034	0.0	0.0	***	heart
single	SINE	5535.0	82084.0	1004030.0	2886859.0	0.06743092441888797	0.34779322440063754	-2.3667475285363877	0.0	0.0	***	limb
single	SINE	24478.0	358650.0	4217644.0	11836388.0	0.06825038338212742	0.3563286367428983	-2.384299359612186	0.0	0.0	***	pooled
single	DNA-TIR	3982.0	90439.0	106989.0	3225322.0	0.044029677462156816	0.033171571706638904	0.40852889490610855	1.0533093334572984e-71	1.0533093334572984e-71	***	forebrain
single	DNA-TIR	9795.0	186127.0	204240.0	5724207.0	0.05262535795451493	0.03568005140275325	0.5606404346274643	0.0	0.0	***	heart
single	DNA-TIR	5798.0	82084.0	103930.0	2886859.0	0.07063495930997515	0.03600106551792103	0.9723427662229396	0.0	0.0	***	limb
single	DNA-TIR	19575.0	358650.0	415159.0	11836388.0	0.054579673776662486	0.035074804915148104	0.6379286772862934	0.0	0.0	***	pooled
