group	te_class	obs_count	obs_total	ref_count	ref_total	obs_prop	ref_prop	log2_obs_over_ref	log2_odds_ratio	chi2	p_value	direction	q_value	label	tissue
shadows	LTR	217	499	11432	43196	0.4348697394789579	0.2646541346420965	0.7164751267569519	1.0970389243702987	73.09911059310461	1.233000723077554e-17	enriched	1.6440009641034053e-17	***	forebrain
shadows	LTR	665	1276	28003	120699	0.5211598746081505	0.2320068931805566	1.1675583380112606	1.8489938817401959	587.1768169541924	1.0303703440329971e-129	enriched	2.0607406880659943e-129	***	heart
shadows	LTR	208	464	10232	41213	0.4482758620689655	0.2482711765704996	0.8524700360027233	1.299336886384008	97.75954763997721	4.724003436462397e-23	enriched	9.448006872924794e-23	***	limb
shadows	LTR	1090	2239	49667	205108	0.4868244752121483	0.24215047682196697	1.0074978549309177	1.5699809958797197	717.216246355706	5.39488894069191e-158	enriched	1.078977788138382e-157	***	pooled
shadows	LINE	191	499	7475	43196	0.38276553106212424	0.17304843041022316	1.1452850570371127	1.568624582924436	149.9762493758467	1.7544906404780107e-34	enriched	3.5089812809560214e-34	***	forebrain
shadows	LINE	383	1276	19413	120699	0.3001567398119122	0.16083811796286632	0.9001066991397774	1.1630685997449932	180.2620971965458	4.2480937398977247e-41	enriched	5.6641249865303e-41	***	heart
shadows	LINE	130	464	7320	41213	0.2801724137931034	0.1776138597044622	0.6575707462196251	0.8530381248240707	32.875118787117124	9.82730256595014e-09	enriched	1.310307008793352e-08	***	limb
shadows	LINE	704	2239	34208	205108	0.31442608307280034	0.1667804278721454	0.9147709020035321	1.1966929669868627	344.8066571652083	5.7291138000377266e-77	enriched	7.638818400050302e-77	***	pooled
shadows	SINE	55	499	21703	43196	0.11022044088176353	0.5024307806278359	-2.1885330380764456	-3.015651028881701	303.54123131172014	5.57533745325416e-68	depleted	2.230134981301664e-67	***	forebrain
shadows	SINE	148	1276	67165	120699	0.11598746081504702	0.5564669135618356	-2.2623270536846523	-3.25312302814489	990.5856165408777	1.9981273918219416e-217	depleted	7.992509567287766e-217	***	heart
