Gene Name,num_shadow_enhancers
0610009O20Rik_Heart_Any,3
0610009O20Rik_Heart_E11.5,2
0610038B21Rik_Heart_Any,2
1110001J03Rik_Heart_Any,3
1110007C09Rik_Heart_Any,3
1110038F14Rik_Forebrain_Any,2
1110038F14Rik_Heart_Any,5
1110038F14Rik_Limb_Any,4
1110038F14Rik_Limb_E11.5,4
1110046J04Rik_Heart_Any,2
1110051M20Rik_Forebrain_Any,3
1110051M20Rik_Forebrain_E11.5,3
1190002F15Rik_Heart_Any,4
1190002F15Rik_Heart_E11.5,2
1500004A13Rik_Forebrain_Any,6
1500004A13Rik_Forebrain_E11.5,5
1500004A13Rik_Limb_Any,2
1500009C09Rik_Forebrain_Any,5
1500009C09Rik_Forebrain_E11.5,2
1500012F01Rik_Heart_Any,2
1500017E21Rik_Forebrain_Any,3
1500017E21Rik_Heart_Any,4
1500017E21Rik_Heart_E11.5,3
1500026H17Rik_Forebrain_Any,2
1600029O15Rik_Forebrain_Any,2
1600029O15Rik_Forebrain_E11.5,2
1700001G11Rik_Heart_Any,2
1700001O22Rik_Forebrain_Any,9
1700001O22Rik_Forebrain_E11.5,8
1700001O22Rik_Heart_Any,10
1700001O22Rik_Heart_E11.5,8
1700001O22Rik_Limb_Any,7
1700001O22Rik_Limb_E11.5,7
1700007L15Rik_Heart_Any,6
1700007L15Rik_Heart_E11.5,4
1700013F07Rik_Forebrain_Any,2
1700015E13Rik_Forebrain_Any,2
1700015E13Rik_Forebrain_E11.5,2
1700015E13Rik_Heart_Any,3
1700015E13Rik_Heart_E11.5,2
1700017B05Rik_Heart_Any,3
1700017B05Rik_Heart_E11.5,3
1700018A04Rik_Limb_Any,2
1700021F05Rik_Heart_Any,2
1700030J22Rik_Forebrain_Any,3
1700040L02Rik_Forebrain_Any,5
1700040L02Rik_Heart_Any,13
1700040L02Rik_Heart_E11.5,8
1700040L02Rik_Limb_Any,4
1700040L02Rik_Limb_E11.5,2
1700042O10Rik_Limb_Any,2
1700048O20Rik_Forebrain_Any,5
1700066B19Rik_Heart_Any,2
1700084C01Rik_Forebrain_Any,2
1700095B10Rik_Heart_Any,3
1700095B10Rik_Heart_E11.5,2
1700109K24Rik_Forebrain_Any,2
1700113A16Rik_Heart_Any,2
1810011O10Rik_Heart_Any,7
1810011O10Rik_Limb_Any,2
1810011O10Rik_Limb_E11.5,2
1810019D21Rik_Heart_Any,2
1810019D21Rik_Heart_E11.5,2
1810021B22Rik_Heart_Any,2
1810026B05Rik_Limb_Any,2
1810026B05Rik_Limb_E11.5,2
1810041L15Rik_Forebrain_Any,2
2010001E11Rik_Limb_Any,2
2010107E04Rik_Forebrain_Any,2
2010107E04Rik_Heart_Any,6
2010107E04Rik_Heart_E11.5,3
2010111I01Rik_Forebrain_Any,6
2010111I01Rik_Forebrain_E11.5,4
2010111I01Rik_Heart_Any,23
2010111I01Rik_Heart_E11.5,10
2010111I01Rik_Limb_Any,21
2010111I01Rik_Limb_E11.5,12
2010300C02Rik_Forebrain_Any,4
2010300C02Rik_Heart_Any,6
2210011C24Rik_Heart_Any,2
2210018M11Rik_Heart_Any,5
2210018M11Rik_Heart_E11.5,5
2210018M11Rik_Limb_Any,3
2210018M11Rik_Limb_E11.5,2
2210408I21Rik_Forebrain_Any,2
2310001H17Rik_Heart_Any,3
2310002L09Rik_Heart_Any,3
2310009B15Rik_Heart_Any,2
2310015A10Rik_Forebrain_Any,3
2310015A10Rik_Heart_Any,5
2310015A10Rik_Heart_E11.5,3
2310015A10Rik_Limb_Any,4
2310015A10Rik_Limb_E11.5,4
2310067B10Rik_Heart_Any,2
2310075C17Rik_Forebrain_Any,3
2310075C17Rik_Heart_Any,7
2310075C17Rik_Heart_E11.5,2
2500004C02Rik_Forebrain_Any,3
2500004C02Rik_Heart_Any,10
2500004C02Rik_Heart_E11.5,6
2500004C02Rik_Limb_Any,4
2500004C02Rik_Limb_E11.5,4
2510009E07Rik_Forebrain_Any,4
2510009E07Rik_Forebrain_E11.5,2
2510009E07Rik_Heart_Any,3
2610035D17Rik_Limb_Any,2
2610035F20Rik_Forebrain_Any,11
2610035F20Rik_Forebrain_E11.5,11
2610035F20Rik_Limb_Any,7
2610035F20Rik_Limb_E11.5,7
2610307P16Rik_Forebrain_Any,13
2610307P16Rik_Forebrain_E11.5,9
2610307P16Rik_Heart_Any,2
2610307P16Rik_Limb_Any,14
2610307P16Rik_Limb_E11.5,11
2610316D01Rik_Forebrain_Any,2
2610316D01Rik_Forebrain_E11.5,2
2610524H06Rik_Forebrain_Any,2
2700069I18Rik_Forebrain_Any,3
2700069I18Rik_Forebrain_E11.5,2
2700069I18Rik_Limb_Any,4
2700069I18Rik_Limb_E11.5,3
2700081O15Rik_Forebrain_Any,8
2700081O15Rik_Forebrain_E11.5,4
2700081O15Rik_Heart_Any,2
2700081O15Rik_Limb_Any,5
2700081O15Rik_Limb_E11.5,3
2810025M15Rik_Forebrain_Any,3
2810025M15Rik_Forebrain_E11.5,3
2810025M15Rik_Heart_Any,4
2810025M15Rik_Heart_E11.5,3
2810029C07Rik_Forebrain_Any,4
2810029C07Rik_Forebrain_E11.5,2
2810032G03Rik_Forebrain_Any,6
2810032G03Rik_Limb_Any,3
2810429I04Rik_Heart_Any,3
2810442N19Rik_Limb_Any,9
2810442N19Rik_Limb_E11.5,9
2900079G21Rik_Forebrain_Any,2
3110057O12Rik_Heart_Any,5
3110057O12Rik_Heart_E11.5,4
3110082J24Rik_Forebrain_Any,2
3110099E03Rik_Forebrain_Any,2
3425401B19Rik_Heart_Any,2
3632451O06Rik_Heart_Any,4
4430402I18Rik_Heart_Any,2
4631405J19Rik_Forebrain_Any,2
4631405J19Rik_Heart_Any,8
4631405J19Rik_Heart_E11.5,3
4631405J19Rik_Limb_Any,4
4632428C04Rik_Heart_Any,2
4833412C05Rik_Heart_Any,4
4833412C05Rik_Heart_E11.5,3
4833422C13Rik_Forebrain_Any,4
4833427F10Rik_Forebrain_Any,2
4833427F10Rik_Heart_Any,2
4833427F10Rik_Heart_E11.5,2
4833427F10Rik_Limb_Any,2
4921524J17Rik_Heart_Any,4
4930429F24Rik_Heart_Any,3
4930429F24Rik_Heart_E11.5,2
4930452B06Rik_Heart_Any,2
4930506M07Rik_Forebrain_Any,2
4930511M06Rik_Heart_Any,2
4930513N10Rik_Forebrain_Any,2
4930513N10Rik_Heart_Any,8
4930513N10Rik_Heart_E11.5,6
4930570G19Rik_Forebrain_Any,4
4930577N17Rik_Heart_Any,3
4930577N17Rik_Heart_E11.5,2
4930578M01Rik_Forebrain_Any,3
4930578M01Rik_Forebrain_E11.5,3
4930578M01Rik_Heart_Any,3
4930578M01Rik_Heart_E11.5,2
4930578M01Rik_Limb_Any,2
4930594C11Rik_Heart_Any,2
4930599N23Rik_Heart_Any,2
4930599N23Rik_Heart_E11.5,2
4932441J04Rik_Heart_Any,3
5031414D18Rik_Heart_Any,5
5031414D18Rik_Heart_E11.5,2
5031414D18Rik_Limb_Any,2
5031414D18Rik_Limb_E11.5,2
5031425E22Rik_Heart_Any,3
5031434O11Rik_Forebrain_Any,3
5031434O11Rik_Forebrain_E11.5,2
5031434O11Rik_Heart_Any,2
5330426P16Rik_Forebrain_Any,4
5330426P16Rik_Forebrain_E11.5,2
5330426P16Rik_Heart_Any,4
5330426P16Rik_Heart_E11.5,3
5330426P16Rik_Limb_Any,2
5330426P16Rik_Limb_E11.5,2
5730409E04Rik_Heart_Any,2
5730420D15Rik_Heart_Any,2
5730457N03Rik_Limb_Any,2
5730457N03Rik_Limb_E11.5,2
5730522E02Rik_Forebrain_Any,22
5730522E02Rik_Forebrain_E11.5,8
5730522E02Rik_Limb_Any,4
5730522E02Rik_Limb_E11.5,3
6030408B16Rik_Heart_Any,2
6030419C18Rik_Forebrain_Any,3
6030458C11Rik_Heart_Any,3
6030458C11Rik_Heart_E11.5,2
6330403A02Rik_Forebrain_Any,2
6330403K07Rik_Forebrain_Any,11
6330403K07Rik_Forebrain_E11.5,8
6430548M08Rik_Forebrain_Any,4
6430548M08Rik_Heart_Any,3
6430562O15Rik_Heart_Any,4
6430573F11Rik_Heart_Any,2
6430710C18Rik_Forebrain_Any,4
6430710C18Rik_Heart_Any,6
6430710C18Rik_Heart_E11.5,3
6430710C18Rik_Limb_Any,2
6530403H02Rik_Forebrain_Any,2
6530411M01Rik_Forebrain_Any,10
6530411M01Rik_Forebrain_E11.5,4
8430419L09Rik_Forebrain_Any,3
8430429K09Rik_Forebrain_Any,5
9030612E09Rik_Forebrain_Any,4
9030612E09Rik_Heart_Any,3
9030612E09Rik_Heart_E11.5,2
9030617O03Rik_Heart_Any,4
9130011E15Rik_Forebrain_Any,2
9130011E15Rik_Heart_Any,3
9130024F11Rik_Forebrain_Any,3
9130401M01Rik_Forebrain_Any,2
9330158H04Rik_Heart_Any,8
9330158H04Rik_Heart_E11.5,2
9330179D12Rik_Heart_Any,2
9430020K01Rik_Forebrain_Any,4
9430020K01Rik_Heart_Any,15
9430020K01Rik_Heart_E11.5,6
9430020K01Rik_Limb_Any,7
9530026P05Rik_Heart_Any,12
9530026P05Rik_Heart_E11.5,4
9530026P05Rik_Limb_Any,4
9530059O14Rik_Forebrain_Any,7
9530059O14Rik_Forebrain_E11.5,3
9530068E07Rik_Heart_Any,4
9530068E07Rik_Heart_E11.5,3
A130010J15Rik_Heart_Any,3
A330023F24Rik_Forebrain_Any,2
A330023F24Rik_Heart_Any,2
A330041J22Rik_Heart_Any,2
A330102I10Rik_Forebrain_Any,2
A330102I10Rik_Heart_Any,4
A330102I10Rik_Limb_Any,2
A330102I10Rik_Limb_E11.5,2
A530016L24Rik_Heart_Any,3
A530016L24Rik_Heart_E11.5,2
A530058N18Rik_Heart_Any,2
A630012P03Rik_Heart_Any,2
A630012P03Rik_Heart_E11.5,2
A630012P03Rik_Limb_Any,4
A630012P03Rik_Limb_E11.5,4
A730020E08Rik_Forebrain_Any,2
A730036I17Rik_Heart_Any,2
A730056A06Rik_Forebrain_Any,4
A830082K12Rik_Forebrain_Any,5
A930001C03Rik_Heart_Any,2
A930001C03Rik_Limb_Any,2
A930007I19Rik_Heart_Any,3
A930007I19Rik_Heart_E11.5,2
A930011G23Rik_Forebrain_Any,2
A930011G23Rik_Heart_Any,4
A930011G23Rik_Heart_E11.5,3
A930012L18Rik_Forebrain_Any,2
A930012L18Rik_Heart_Any,25
A930012L18Rik_Heart_E11.5,13
A930012L18Rik_Limb_Any,5
A930041C12Rik_Limb_Any,2
AA415398_Forebrain_Any,3
AA415398_Heart_Any,3
AA415398_Heart_E11.5,2
AI427809_Forebrain_Any,3
AI427809_Heart_Any,4
AI504432_Forebrain_Any,3
AI593442_Forebrain_Any,2
AI597479_Forebrain_Any,7
AI597479_Forebrain_E11.5,5
AI597479_Heart_Any,4
AI597479_Heart_E11.5,2
AI854517_Forebrain_Any,5
AI854517_Forebrain_E11.5,5
AU040972_Heart_Any,2
AW551984_Forebrain_Any,2
AW554918_Heart_Any,6
AW554918_Heart_E11.5,4
Aadacl2_Limb_Any,2
Aaed1_Heart_Any,3
Aars2_Heart_Any,3
Aasdh_Heart_Any,3
Aasdh_Heart_E11.5,2
Abca12_Heart_Any,3
Abca4_Heart_Any,2
Abcb10_Heart_Any,5
Abcb10_Heart_E11.5,2
Abcb8_Heart_Any,3
Abcc9_Heart_Any,4
Abcc9_Heart_E11.5,3
Abcd2_Forebrain_Any,2
Abhd2_Forebrain_Any,3
Abhd2_Forebrain_E11.5,2
Abhd2_Heart_Any,2
Abi2_Forebrain_Any,2
Abi2_Heart_Any,2
Abi3_Heart_Any,3
Abi3_Heart_E11.5,2
Abl1_Forebrain_Any,2
Abl1_Forebrain_E11.5,2
Abl1_Heart_Any,4
Abl1_Heart_E11.5,3
Abl1_Limb_Any,3
Abl1_Limb_E11.5,3
Ablim1_Heart_Any,8
Ablim1_Heart_E11.5,3
Ablim3_Forebrain_Any,4
Ablim3_Heart_Any,5
Abr_Forebrain_Any,6
Abracl_Heart_Any,3
Abtb2_Forebrain_Any,3
Abtb2_Heart_Any,9
Abtb2_Heart_E11.5,4
Abtb2_Limb_Any,4
Abtb2_Limb_E11.5,4
Acaca_Forebrain_Any,9
Acaca_Forebrain_E11.5,7
Acaca_Limb_Any,3
Acaca_Limb_E11.5,3
Acad12_Heart_Any,7
Acad12_Heart_E11.5,6
Acads_Forebrain_Any,2
Acads_Heart_Any,9
Acads_Heart_E11.5,8
Acads_Limb_Any,5
Acads_Limb_E11.5,4
Acan_Limb_Any,3
Acap1_Heart_Any,2
Acap3_Forebrain_Any,2
Accs_Heart_Any,3
Accs_Heart_E11.5,2
Acer2_Heart_Any,4
Acer2_Heart_E11.5,4
Ackr2_Forebrain_Any,2
Ackr2_Forebrain_E11.5,2
Ackr2_Heart_Any,2
Ackr2_Heart_E11.5,2
Ackr2_Limb_Any,2
Ackr3_Heart_Any,4
Ackr3_Heart_E11.5,3
Ackr3_Limb_Any,2
Acot11_Heart_Any,3
Acot2_Heart_Any,5
Acsf3_Heart_Any,2
Acsl6_Forebrain_Any,3
Acta1_Heart_Any,3
Acta1_Heart_E11.5,2
Acta1_Limb_Any,2
Acta2_Heart_Any,3
