bucket,rep,pooled_null_prop_enh,pooled_null_prop_double_flank,pooled_null_prop_duplication,body_hit_enhancers,double_flank_hit_enhancers,duplication_hit_enhancers,total_enhancers
>=4,0,0.21383089770354907,0.022494780793319416,0.005584551148225469,4097,431,107,19160
>=4,1,0.2140918580375783,0.022860125260960335,0.0061586638830897706,4102,438,118,19160
>=4,2,0.21074337022342868,0.02150762163290875,0.005533514303612445,4037,412,106,19156
>=4,3,0.2143714449720816,0.02358712101445494,0.006679538694358921,4108,452,128,19163
>=4,4,0.21189979123173278,0.022338204592901877,0.005480167014613779,4060,428,105,19160
>=4,5,0.209908122781374,0.02370014616830236,0.006264355815410315,4021,454,120,19156
>=4,6,0.2174321503131524,0.02244258872651357,0.005741127348643006,4166,430,110,19160
>=4,7,0.21086412022542267,0.02342934669171363,0.005948653725735754,4041,449,114,19164
>=4,8,0.2151356993736952,0.023068893528183716,0.007411273486430062,4122,442,142,19160
>=4,9,0.21050983666440537,0.02405677607890205,0.0050618379168188695,4034,461,97,19163
>=4,10,0.21775666788454512,0.021608643457382955,0.005793621796544705,4172,414,111,19159
>=4,11,0.21425961689023434,0.023592045513857716,0.0049063103502270475,4105,452,94,19159
>=4,12,0.21149329296936165,0.022756928858499923,0.005271673886946083,4052,436,101,19159
>=4,13,0.21351774530271397,0.023434237995824635,0.0057933194154488514,4091,449,111,19160
>=4,14,0.21214494569757728,0.024331662489557225,0.006840016708437761,4063,466,131,19152
>=4,15,0.21728240450845335,0.022959716134418703,0.005322479649342517,4164,440,102,19164
>=4,16,0.21388308977035492,0.022703549060542796,0.006524008350730689,4098,435,125,19160
>=4,17,0.2120563674321503,0.02118997912317328,0.00568893528183716,4063,406,109,19160
>=4,18,0.2144572025052192,0.022129436325678497,0.005427974947807933,4109,424,104,19160
>=4,19,0.21315240083507306,0.021711899791231733,0.007150313152400835,4084,416,137,19160
>=4,20,0.21430062630480168,0.022390396659707726,0.006315240083507307,4106,429,121,19160
>=4,21,0.21403966597077245,0.02129436325678497,0.005271398747390397,4101,408,101,19160
>=4,22,0.2145839858022758,0.02067021609771375,0.006107109301597244,4111,396,117,19158
>=4,23,0.2115786176654834,0.022447275005220296,0.0047504698266861555,4053,430,91,19156
>=4,24,0.2112212943632568,0.024008350730688934,0.0059498956158663885,4047,460,114,19160
>=4,25,0.21501670843776108,0.021877610693400166,0.0043859649122807015,4118,419,84,19152
>=4,26,0.21768636458550847,0.022395072040091876,0.006055543954896638,4170,429,116,19156
>=4,27,0.21780421623878105,0.02144646211646838,0.005948653725735754,4174,411,114,19164
>=4,28,0.2093533065400073,0.02249595490370061,0.006733128033822224,4011,431,129,19159
>=4,29,0.2102213405721445,0.022603883900605554,0.00589893505951138,4027,433,113,19156
>=4,30,0.21028183716075158,0.022338204592901877,0.0059498956158663885,4029,428,114,19160
>=4,31,0.21220505324702443,0.02291710169137607,0.005533514303612445,4065,439,106,19156
>=4,32,0.2139464481444752,0.023748629886737302,0.005323868677905945,4099,455,102,19159
>=4,33,0.21441243999165102,0.02556877478605719,0.006053016071801294,4109,490,116,19164
>=4,34,0.21497912317327766,0.02510438413361169,0.0060542797494780795,4119,481,116,19160
>=4,35,0.21029281277728482,0.020721332011065297,0.004593141604467874,4029,397,88,19159
>=4,36,0.21281703371255611,0.023849285043314895,0.005844901367289427,4078,457,112,19162
>=4,37,0.21304801670146137,0.02254697286012526,0.005584551148225469,4082,432,107,19160
>=4,38,0.2132045929018789,0.024164926931106473,0.007359081419624217,4085,463,141,19160
>=4,39,0.21484110003652873,0.02296091426185879,0.005270573501017586,4117,440,101,19163
>=4,40,0.21336116910229644,0.02103340292275574,0.005845511482254697,4088,403,112,19160
>=4,41,0.21016913760701608,0.020567968260597203,0.00522029651284193,4026,394,100,19156
>=4,42,0.21519515758714255,0.021655186808599458,0.005635566687539136,4124,415,108,19164
>=4,43,0.2094661587434118,0.021656316860616812,0.005740228565464698,4014,415,110,19163
>=4,44,0.21014454939205762,0.021238845692219382,0.0050618379168188695,4027,407,97,19163
>=4,45,0.21387554813113385,0.021873042388807683,0.0045938609313008975,4097,419,88,19156
>=4,46,0.21334586466165414,0.023026315789473683,0.00496031746031746,4086,441,95,19152
>=4,47,0.2128991859737007,0.021968273846796078,0.005374660822375287,4080,421,103,19164
>=4,48,0.21236951983298538,0.02056367432150313,0.006367432150313153,4069,394,122,19160
>=4,49,0.20991908117984862,0.025215348472983554,0.005690420255807883,4021,483,109,19155
>=4,50,0.21340572144497807,0.02202965128419294,0.00522029651284193,4088,422,100,19156
>=4,51,0.21225725621215286,0.02197744831906452,0.0054813113384840255,4066,421,105,19156
>=4,52,0.20998224913856114,0.022710660958546517,0.005951759423619088,4022,435,114,19154
>=4,53,0.21278705636743214,0.023173277661795406,0.00568893528183716,4077,444,109,19160
>=4,54,0.21382334516600543,0.02281269576111923,0.006212152850281896,4096,437,119,19156
>=4,55,0.21578041016542296,0.0234305693263059,0.005322757397067265,4135,449,102,19163
>=4,56,0.21377870563674323,0.024686847599164927,0.005636743215031315,4096,473,108,19160
>=4,57,0.21424843423799583,0.023643006263048015,0.006315240083507307,4105,453,121,19160
>=4,58,0.2164264828738513,0.02078111946532999,0.005325814536340852,4145,398,102,19152
>=4,59,0.2076919062777227,0.023326201534206545,0.006366435318060846,3980,447,122,19163
>=4,60,0.2103450075682447,0.023957409050576754,0.006524348869982776,4030,459,125,19159
>=4,61,0.2115786176654834,0.021298809772395073,0.005324702443098768,4053,408,102,19156
>=4,62,0.21116910229645094,0.023903966597077244,0.006315240083507307,4046,458,121,19160
>=4,63,0.2107955731885571,0.02208185424932136,0.005585717268740864,4038,423,107,19156
>=4,64,0.21164987734224125,0.02228717573986116,0.006472154079022913,4055,427,124,19159
>=4,65,0.21586638830897703,0.020198329853862215,0.004436325678496869,4136,387,85,19160
>=4,66,0.210605981523044,0.023278876768098544,0.005950206169424292,4035,446,114,19159
>=4,67,0.21335351847984965,0.021142200877009815,0.004280643140530382,4087,405,82,19156
>=4,68,0.21113083429048762,0.02391145452646967,0.005899551007622429,4044,458,113,19154
>=4,69,0.21601586970139905,0.023178116517018166,0.0054813113384840255,4138,444,105,19156
>=4,70,0.20992744924056578,0.021399864293543503,0.005637037423665118,4022,410,108,19159
>=4,71,0.21510201951677713,0.02306528205395815,0.00615769973386213,4122,442,118,19163
>=4,72,0.21116099394445603,0.02302150762163291,0.006107746920025058,4045,441,117,19156
>=4,73,0.2110125260960334,0.02301670146137787,0.006419624217118998,4043,441,123,19160
>=4,74,0.21022964509394573,0.022286012526096032,0.0060542797494780795,4028,427,116,19160
>=4,75,0.21575485487575694,0.02302150762163291,0.005690123198997703,4133,441,109,19156
>=4,76,0.21336465674758548,0.020934481858522577,0.004019838162359697,4087,401,77,19155
>=4,77,0.21184759916492693,0.021607515657620043,0.004906054279749478,4059,414,94,19160
>=4,78,0.21189979123173278,0.020668058455114824,0.005584551148225469,4060,396,107,19160
