shadowset	pair_dir	enhancer_a	enhancer_b	feat_space	size_a	size_b	hits_a	hits_b	intersection	union	jaccard	cosine	overlap_coeff	weighted_jaccard	bray_curtis_sim	hellinger_sim	pos_jsd_sim	group	fimo_a	fimo_b	all_tfbs_jaccard_count	mesoderm_jaccard_count
FBgn0023095_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0023095_sm/chr3L_13208620-13208905__chr3L_13231729-13231956	chr3L:13208620-13208905	chr3L:13231729-13231956	name	54	48	68	69	24	78	0.307692	0.200004	0.5	0.0	0.350365	0.218905	1.0	neither	yes	yes	0.20869565217391303	0.2222222222222222
FBgn0023095_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0023095_sm/chr3L_13231729-13231956__chr3L_13270814-13271136	chr3L:13231729-13231956	chr3L:13270814-13271136	name	48	104	69	232	35	117	0.299145	0.422103	0.729167	0.0	0.285714	0.284227	1.0	neither	yes	yes	0.1520912547528517	0.10526315789473684
FBgn0023095_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0023095_sm/chr3L_13208620-13208905__chr3L_13270814-13271136	chr3L:13208620-13208905	chr3L:13270814-13271136	name	54	104	68	232	37	121	0.305785	0.349928	0.685185	0.0	0.266667	0.249514	1.0	neither	yes	yes	0.14393939393939395	0.18181818181818182
FBgn0037816_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037816_sm/chr3R_10387951-10388335__chr3R_10536788-10537065	chr3R:10387951-10388335	chr3R:10536788-10537065	name	101	40	184	66	29	112	0.258929	0.297862	0.725	0.0	0.28	0.238863	1.0	neither	yes	yes	0.16129032258064516	0.2631578947368421
FBgn0037447_vm_sm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037447_vm_sm/chr3R_6467754-6468039__chr3R_6481705-6482044	chr3R:6467754-6468039	chr3R:6481705-6482044	name	38	51	65	94	20	69	0.289855	0.596118	0.526316	0.0	0.389937	0.312352	1.0	neither	yes	yes	0.21052631578947367	0.26666666666666666
FBgn0038536_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0038536_vm/chr3R_17705753-17706062__chr3R_17712387-17713045	chr3R:17705753-17706062	chr3R:17712387-17713045	name	88	51	115	169	27	112	0.241071	0.237603	0.529412	0.0	0.232394	0.199085	1.0	enhancer_hit	yes	yes	0.13043478260869565	0.19230769230769232
FBgn0037608_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037608_vm/chr3R_8668848-8669048__chr3R_8684628-8685183	chr3R:8668848-8669048	chr3R:8684628-8685183	name	32	85	44	173	21	96	0.21875	0.558688	0.65625	0.0	0.285714	0.279346	1.0	flank_hit	yes	yes	0.14659685863874344	0.21052631578947367
FBgn0037608_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037608_vm/chr3R_8664993-8665193__chr3R_8684628-8685183	chr3R:8664993-8665193	chr3R:8684628-8685183	name	92	85	192	173	47	130	0.361538	0.378183	0.552941	0.0	0.345205	0.276873	1.0	neither	yes	yes	0.19934640522875818	0.13793103448275862
FBgn0037608_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037608_vm/chr3R_8664009-8664210__chr3R_8668848-8669048	chr3R:8664009-8664210	chr3R:8668848-8669048	name	89	32	109	44	22	99	0.222222	0.407295	0.6875	0.0	0.313725	0.242659	1.0	neither	yes	yes	0.183206106870229	0.25
FBgn0037608_vm	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037608_vm/chr3R_8664993-8665193__chr3R_8668848-8669048	chr3R:8664993-8665193	chr3R:8668848-8669048	name	92	32	192	44	19	105	0.180952	0.295455	0.59375	0.0	0.186441	0.189649	1.0	neither	yes	yes	0.10185185185185185	0.1111111111111111
