gene_label	pair_dir	enhancer_id	flank_side	chrom	start	end	length	is_intervening_inner	restricted_by_other_enhancers	truncated_at_boundary	softmasked_bases	masked_source	fasta_path
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336	chr3R:16904976-16905213	LEFT	chr3R	16902476	16904976	2500	0	0	0	54	RepeatMasker	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336/chr3R_16902476-16904976_LEFT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336	chr3R:16904976-16905213	RIGHT	chr3R	16905213	16907713	2500	0	0	0	126	RepeatMasker	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336/chr3R_16905213-16907713_RIGHT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336	chr3R:16938077-16938336	LEFT	chr3R	16935577	16938077	2500	0	0	0	157	RepeatMasker	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336/chr3R_16935577-16938077_LEFT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336	chr3R:16938077-16938336	RIGHT	chr3R	16938336	16940836	2500	0	0	0	57	RepeatMasker	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336/chr3R_16938336-16940836_RIGHT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008	chr3R:16904976-16905213	LEFT	chr3R	16902476	16904976	2500	0	0	0	54	RepeatMasker	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008/chr3R_16902476-16904976_LEFT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008	chr3R:16904976-16905213	RIGHT	chr3R	16905213	16907713	2500	0	0	0	126	RepeatMasker	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008/chr3R_16905213-16907713_RIGHT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008	chr3R:16969808-16970008	LEFT	chr3R	16967308	16969808	2500	0	0	0	125	RepeatMasker	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008/chr3R_16967308-16969808_LEFT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008	chr3R:16969808-16970008	RIGHT	chr3R	16970008	16972508	2500	0	0	0	81	RepeatMasker	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008/chr3R_16970008-16972508_RIGHT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008	chr3R:16938077-16938336	LEFT	chr3R	16935577	16938077	2500	0	0	0	157	RepeatMasker	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008/chr3R_16935577-16938077_LEFT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008	chr3R:16938077-16938336	RIGHT	chr3R	16938336	16940836	2500	0	0	0	57	RepeatMasker	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008/chr3R_16938336-16940836_RIGHT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008	chr3R:16969808-16970008	LEFT	chr3R	16967308	16969808	2500	0	0	0	125	RepeatMasker	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008/chr3R_16967308-16969808_LEFT.fa
FBgn0000015_sm	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008	chr3R:16969808-16970008	RIGHT	chr3R	16970008	16972508	2500	0	0	0	81	RepeatMasker	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008/chr3R_16970008-16972508_RIGHT.fa
