gene_label	pair_dir	enhancer_role	enhancer_id	chrom	start	end	fasta_path	length
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336	LEFT	chr3R:16904976-16905213	chr3R	16904976	16905213	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336/enhancers/chr3R_16904976-16905213.fa	237
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336	RIGHT	chr3R:16938077-16938336	chr3R	16938077	16938336	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16938077-16938336/enhancers/chr3R_16938077-16938336.fa	259
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008	LEFT	chr3R:16904976-16905213	chr3R	16904976	16905213	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008/enhancers/chr3R_16904976-16905213.fa	237
FBgn0000015_sm	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008	RIGHT	chr3R:16969808-16970008	chr3R	16969808	16970008	FBgn0000015_sm/chr3R_16904976-16905213__chr3R_16969808-16970008/enhancers/chr3R_16969808-16970008.fa	200
FBgn0000015_sm	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008	LEFT	chr3R:16938077-16938336	chr3R	16938077	16938336	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008/enhancers/chr3R_16938077-16938336.fa	259
FBgn0000015_sm	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008	RIGHT	chr3R:16969808-16970008	chr3R	16969808	16970008	FBgn0000015_sm/chr3R_16938077-16938336__chr3R_16969808-16970008/enhancers/chr3R_16969808-16970008.fa	200
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450	LEFT	chr2R:20558766-20559051	chr2R	20558766	20559051	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450/enhancers/chr2R_20558766-20559051.fa	285
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450	RIGHT	chr2R:20559250-20559450	chr2R	20559250	20559450	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20559250-20559450/enhancers/chr2R_20559250-20559450.fa	200
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860	LEFT	chr2R:20558766-20559051	chr2R	20558766	20559051	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860/enhancers/chr2R_20558766-20559051.fa	285
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860	RIGHT	chr2R:20560480-20560860	chr2R	20560480	20560860	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20560480-20560860/enhancers/chr2R_20560480-20560860.fa	380
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268	LEFT	chr2R:20558766-20559051	chr2R	20558766	20559051	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268/enhancers/chr2R_20558766-20559051.fa	285
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268	RIGHT	chr2R:20562855-20563268	chr2R	20562855	20563268	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20562855-20563268/enhancers/chr2R_20562855-20563268.fa	413
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921	LEFT	chr2R:20558766-20559051	chr2R	20558766	20559051	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921/enhancers/chr2R_20558766-20559051.fa	285
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921	RIGHT	chr2R:20563710-20563921	chr2R	20563710	20563921	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20563710-20563921/enhancers/chr2R_20563710-20563921.fa	211
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882	LEFT	chr2R:20558766-20559051	chr2R	20558766	20559051	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882/enhancers/chr2R_20558766-20559051.fa	285
FBgn0000044_sm	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882	RIGHT	chr2R:20566669-20566882	chr2R	20566669	20566882	FBgn0000044_sm/chr2R_20558766-20559051__chr2R_20566669-20566882/enhancers/chr2R_20566669-20566882.fa	213
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860	LEFT	chr2R:20559250-20559450	chr2R	20559250	20559450	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860/enhancers/chr2R_20559250-20559450.fa	200
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860	RIGHT	chr2R:20560480-20560860	chr2R	20560480	20560860	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20560480-20560860/enhancers/chr2R_20560480-20560860.fa	380
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268	LEFT	chr2R:20559250-20559450	chr2R	20559250	20559450	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268/enhancers/chr2R_20559250-20559450.fa	200
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268	RIGHT	chr2R:20562855-20563268	chr2R	20562855	20563268	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20562855-20563268/enhancers/chr2R_20562855-20563268.fa	413
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921	LEFT	chr2R:20559250-20559450	chr2R	20559250	20559450	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921/enhancers/chr2R_20559250-20559450.fa	200
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921	RIGHT	chr2R:20563710-20563921	chr2R	20563710	20563921	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20563710-20563921/enhancers/chr2R_20563710-20563921.fa	211
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882	LEFT	chr2R:20559250-20559450	chr2R	20559250	20559450	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882/enhancers/chr2R_20559250-20559450.fa	200
FBgn0000044_sm	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882	RIGHT	chr2R:20566669-20566882	chr2R	20566669	20566882	FBgn0000044_sm/chr2R_20559250-20559450__chr2R_20566669-20566882/enhancers/chr2R_20566669-20566882.fa	213
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268	LEFT	chr2R:20560480-20560860	chr2R	20560480	20560860	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268/enhancers/chr2R_20560480-20560860.fa	380
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268	RIGHT	chr2R:20562855-20563268	chr2R	20562855	20563268	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20562855-20563268/enhancers/chr2R_20562855-20563268.fa	413
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921	LEFT	chr2R:20560480-20560860	chr2R	20560480	20560860	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921/enhancers/chr2R_20560480-20560860.fa	380
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921	RIGHT	chr2R:20563710-20563921	chr2R	20563710	20563921	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20563710-20563921/enhancers/chr2R_20563710-20563921.fa	211
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882	LEFT	chr2R:20560480-20560860	chr2R	20560480	20560860	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882/enhancers/chr2R_20560480-20560860.fa	380
FBgn0000044_sm	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882	RIGHT	chr2R:20566669-20566882	chr2R	20566669	20566882	FBgn0000044_sm/chr2R_20560480-20560860__chr2R_20566669-20566882/enhancers/chr2R_20566669-20566882.fa	213
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921	LEFT	chr2R:20562855-20563268	chr2R	20562855	20563268	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921/enhancers/chr2R_20562855-20563268.fa	413
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921	RIGHT	chr2R:20563710-20563921	chr2R	20563710	20563921	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20563710-20563921/enhancers/chr2R_20563710-20563921.fa	211
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882	LEFT	chr2R:20562855-20563268	chr2R	20562855	20563268	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882/enhancers/chr2R_20562855-20563268.fa	413
FBgn0000044_sm	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882	RIGHT	chr2R:20566669-20566882	chr2R	20566669	20566882	FBgn0000044_sm/chr2R_20562855-20563268__chr2R_20566669-20566882/enhancers/chr2R_20566669-20566882.fa	213
FBgn0000044_sm	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882	LEFT	chr2R:20563710-20563921	chr2R	20563710	20563921	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882/enhancers/chr2R_20563710-20563921.fa	211
FBgn0000044_sm	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882	RIGHT	chr2R:20566669-20566882	chr2R	20566669	20566882	FBgn0000044_sm/chr2R_20563710-20563921__chr2R_20566669-20566882/enhancers/chr2R_20566669-20566882.fa	213
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134	LEFT	chr2L:5245229-5245858	chr2L	5245229	5245858	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134/enhancers/chr2L_5245229-5245858.fa	629
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134	RIGHT	chr2L:5247934-5248134	chr2L	5247934	5248134	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5247934-5248134/enhancers/chr2L_5247934-5248134.fa	200
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920	LEFT	chr2L:5245229-5245858	chr2L	5245229	5245858	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920/enhancers/chr2L_5245229-5245858.fa	629
FBgn0000228_sm	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920	RIGHT	chr2L:5261720-5261920	chr2L	5261720	5261920	FBgn0000228_sm/chr2L_5245229-5245858__chr2L_5261720-5261920/enhancers/chr2L_5261720-5261920.fa	200
FBgn0000228_sm	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920	LEFT	chr2L:5247934-5248134	chr2L	5247934	5248134	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920/enhancers/chr2L_5247934-5248134.fa	200
FBgn0000228_sm	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920	RIGHT	chr2L:5261720-5261920	chr2L	5261720	5261920	FBgn0000228_sm/chr2L_5247934-5248134__chr2L_5261720-5261920/enhancers/chr2L_5261720-5261920.fa	200
FBgn0000261_sm	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729	LEFT	chr3L:18758861-18759061	chr3L	18758861	18759061	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729/enhancers/chr3L_18758861-18759061.fa	200
FBgn0000261_sm	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729	RIGHT	chr3L:18792529-18792729	chr3L	18792529	18792729	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18792529-18792729/enhancers/chr3L_18792529-18792729.fa	200
FBgn0000261_sm	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18812160-18812714	LEFT	chr3L:18758861-18759061	chr3L	18758861	18759061	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18812160-18812714/enhancers/chr3L_18758861-18759061.fa	200
FBgn0000261_sm	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18812160-18812714	RIGHT	chr3L:18812160-18812714	chr3L	18812160	18812714	FBgn0000261_sm/chr3L_18758861-18759061__chr3L_18812160-18812714/enhancers/chr3L_18812160-18812714.fa	554
FBgn0000261_sm	FBgn0000261_sm/chr3L_18792529-18792729__chr3L_18812160-18812714	LEFT	chr3L:18792529-18792729	chr3L	18792529	18792729	FBgn0000261_sm/chr3L_18792529-18792729__chr3L_18812160-18812714/enhancers/chr3L_18792529-18792729.fa	200
FBgn0000261_sm	FBgn0000261_sm/chr3L_18792529-18792729__chr3L_18812160-18812714	RIGHT	chr3L:18812160-18812714	chr3L	18812160	18812714	FBgn0000261_sm/chr3L_18792529-18792729__chr3L_18812160-18812714/enhancers/chr3L_18812160-18812714.fa	554
FBgn0000414_sm	FBgn0000414_sm/chr3L_16674720-16675084__chr3L_16680906-16681461	LEFT	chr3L:16674720-16675084	chr3L	16674720	16675084	FBgn0000414_sm/chr3L_16674720-16675084__chr3L_16680906-16681461/enhancers/chr3L_16674720-16675084.fa	364
FBgn0000414_sm	FBgn0000414_sm/chr3L_16674720-16675084__chr3L_16680906-16681461	RIGHT	chr3L:16680906-16681461	chr3L	16680906	16681461	FBgn0000414_sm/chr3L_16674720-16675084__chr3L_16680906-16681461/enhancers/chr3L_16680906-16681461.fa	555
FBgn0000463_sm	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19300935-19301225	LEFT	chr3R:19287679-19287954	chr3R	19287679	19287954	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19300935-19301225/enhancers/chr3R_19287679-19287954.fa	275
FBgn0000463_sm	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19300935-19301225	RIGHT	chr3R:19300935-19301225	chr3R	19300935	19301225	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19300935-19301225/enhancers/chr3R_19300935-19301225.fa	290
FBgn0000463_sm	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19317753-19317953	LEFT	chr3R:19287679-19287954	chr3R	19287679	19287954	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19317753-19317953/enhancers/chr3R_19287679-19287954.fa	275
FBgn0000463_sm	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19317753-19317953	RIGHT	chr3R:19317753-19317953	chr3R	19317753	19317953	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19317753-19317953/enhancers/chr3R_19317753-19317953.fa	200
FBgn0000463_sm	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19350401-19350687	LEFT	chr3R:19287679-19287954	chr3R	19287679	19287954	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19350401-19350687/enhancers/chr3R_19287679-19287954.fa	275
FBgn0000463_sm	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19350401-19350687	RIGHT	chr3R:19350401-19350687	chr3R	19350401	19350687	FBgn0000463_sm/chr3R_19287679-19287954__chr3R_19350401-19350687/enhancers/chr3R_19350401-19350687.fa	286
FBgn0000463_sm	FBgn0000463_sm/chr3R_19300935-19301225__chr3R_19317753-19317953	LEFT	chr3R:19300935-19301225	chr3R	19300935	19301225	FBgn0000463_sm/chr3R_19300935-19301225__chr3R_19317753-19317953/enhancers/chr3R_19300935-19301225.fa	290
