pair_dir	is_close_gap	is_adjacent_neighbors	LL_hit	RR_hit	LR_hit	RL_hit	LL_RR_double_hit	LR_RL_double_hit	any_double_hit	double_hit_type	best_double_hit_comparison	best_double_hit_evalue	best_double_hit_bitscore	best_double_hit_neg_log10_evalue
Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.018	28.3	1.744727494896694
Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.22	24.7	0.6575773191777937
Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858	False	False	1	1	1	1	1	1	1	BOTH	LR	0.018	28.3	1.744727494896694
Abd-B/chr3R_16901949-16902502__chr3R_16920234-16921056	False	False	1	1	0	1	1	0	1	LL_RR	RR	0.094	22.9	1.0268721464003014
Abd-B/chr3R_16901949-16902502__chr3R_16921371-16921858	False	False	0	1	0	1	0	0	0	NONE				
Abd-B/chr3R_16920234-16921056__chr3R_16921371-16921858	True	True	0	0	1	0	0	0	0	NONE				
CG10479/chr3L_5979576-5979770__chr3L_5989752-5990383	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.081	24.7	1.0915149811213503
CG10479/chr3L_5979576-5979770__chr3L_5991306-5991899	False	False	1	1	1	1	1	1	1	BOTH	LL	0.007	28.3	2.154901959985743
CG10479/chr3L_5989752-5990383__chr3L_5991306-5991899	True	True	1	1	1	0	1	0	1	LL_RR	LL	0.28	22.9	0.5528419686577808
D/chr3L_14152518-14152826__chr3L_14153051-14154215	True	True	0	0	1	0	0	0	0	NONE				
D/chr3L_14152518-14152826__chr3L_14171965-14172435	False	False	1	0	1	0	0	0	0	NONE				
D/chr3L_14152518-14152826__chr3L_14172843-14173610	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.005	27.4	2.3010299956639813
D/chr3L_14153051-14154215__chr3L_14171965-14172435	False	False	0	1	0	1	0	0	0	NONE				
D/chr3L_14153051-14154215__chr3L_14172843-14173610	False	False	0	1	1	1	0	1	1	LR_RL	LR	0.005	27.4	2.3010299956639813
D/chr3L_14171965-14172435__chr3L_14172843-14173610	True	True	1	1	1	0	1	0	1	LL_RR	RR	0.035	24.7	1.4559319556497243
DI/chr3R_19314425-19316093__chr3R_19316385-19316666	True	True	1	0	1	0	0	0	0	NONE				
DI/chr3R_19314425-19316093__chr3R_19340454-19341279	False	False	1	0	0	1	0	0	0	NONE				
DI/chr3R_19314425-19316093__chr3R_19341536-19342363	False	False	0	1	1	0	0	0	0	NONE				
DI/chr3R_19316385-19316666__chr3R_19340454-19341279	False	False	1	0	0	1	0	0	0	NONE				
DI/chr3R_19316385-19316666__chr3R_19341536-19342363	False	False	0	1	1	0	0	0	0	NONE				
DI/chr3R_19340454-19341279__chr3R_19341536-19342363	True	True	1	0	1	0	0	0	0	NONE				
DII/chr2R_24808103-24808896__chr2R_24809499-24809705	True	True	1	1	1	0	1	0	1	LL_RR	RR	0.004	29.2	2.3979400086720375
DII/chr2R_24808103-24808896__chr2R_24854572-24855864	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.64	22.9	0.1938200260161128
DII/chr2R_24809499-24809705__chr2R_24854572-24855864	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.015	26.5	1.8239087409443189
FBgn0000014_Spearman/chr3R_16743196-16743622__chr3R_16756098-16756427	False	False	1	1	0	1	1	0	1	LL_RR	RR	0.005	30.1	2.3010299956639813
FBgn0000014_Spearman/chr3R_16743196-16743622__chr3R_16764121-16764485	False	False	1	1	1	1	1	1	1	BOTH	LR	1.01e-05	40.1	4.995678626217358
FBgn0000014_Spearman/chr3R_16743196-16743622__chr3R_16802761-16803112	False	False	1	1	1	1	1	1	1	BOTH	RR	0.005	30.1	2.3010299956639813
FBgn0000014_Spearman/chr3R_16743196-16743622__chr3R_16857769-16858049	False	False	1	1	1	1	1	1	1	BOTH	RR	0.005	31.0	2.3010299956639813
FBgn0000014_Spearman/chr3R_16743196-16743622__chr3R_16878885-16879147	False	False	1	1	1	1	1	1	1	BOTH	LR	0.064	27.4	1.193820026016113
FBgn0000014_Spearman/chr3R_16743196-16743622__chr3R_16882506-16882728	False	False	1	1	1	1	1	1	1	BOTH	LR	0.018	28.3	1.744727494896694
FBgn0000014_Spearman/chr3R_16743196-16743622__chr3R_16920451-16920854	False	False	1	1	1	1	1	1	1	BOTH	RL	0.22	25.6	0.6575773191777937
FBgn0000014_Spearman/chr3R_16756098-16756427__chr3R_16764121-16764485	False	False	1	1	1	1	1	1	1	BOTH	RL	1.49e-98	347.0	97.82681373158772
