pair_dir	comparison	status	blast_path	log_path	is_close_gap	is_adjacent_neighbors	hits_count	best_evalue	best_bitscore	best_pident	best_length	best_qcovhsp
Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502	LL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/blast/LL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/blast/LL/blast.log	False	False	3	0.064	27.4	86.364	22	1.0
Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502	LR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/blast/LR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/blast/LR/blast.log	False	False	1	0.018	28.3	90.0	20	1.0
Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502	RL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/blast/RL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/blast/RL/blast.log	False	False	2	0.77	22.9	100.0	12	0.0
Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502	RR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/blast/RR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/blast/RR/blast.log	False	False	0				0	
Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056	LL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/blast/LL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/blast/LL/blast.log	False	False	0				0	
Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056	LR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/blast/LR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/blast/LR/blast.log	False	False	1	0.33	21.1	100.0	11	3.0
Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056	RL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/blast/RL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/blast/RL/blast.log	False	False	2	0.22	24.7	84.0	25	1.0
Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056	RR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/blast/RR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/blast/RR/blast.log	False	False	1	0.094	22.9	100.0	12	4.0
Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858	LL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858/blast/LL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858/blast/LL/blast.log	False	False	1	0.33	21.1	100.0	11	3.0
Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858	LR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858/blast/LR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/final_flank_blast/shadow_pairs_flanks2/Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858/blast/LR/blast.log	False	False	1	0.018	28.3	100.0	15	1.0
