chr,enh1_start,enh1_end,enh1_id,enh2_start,enh2_end,enh2_id,gap_start,gap_end,gap_bp,gap_te_bp,gap_nonTE_bp,gap_te_frac,criterion_met,n_te_segments_in_gap,te_segments_in_gap,pair_label
chr2L,27275,27475,5142,28218,28418,5143,27475,28218,743,307,436,0.41318977119784656,TE_present_and_gap_nonTE_bp<500,1,27528-27835,chr2L:27275-27475 (ID 5142) | chr2L:28218-28418 (ID 5143)
chr2L,1119168,1119368,5216,1119627,1119827,5217,1119368,1119627,259,30,229,0.11583011583011583,TE_present_and_gap_nonTE_bp<500,1,1119580-1119610,chr2L:1119168-1119368 (ID 5216) | chr2L:1119627-1119827 (ID 5217)
chr2L,4891658,4891858,5456,4892200,4892522,5457,4891858,4892200,342,66,276,0.19298245614035087,TE_present_and_gap_nonTE_bp<500,1,4891858-4891924,chr2L:4891658-4891858 (ID 5456) | chr2L:4892200-4892522 (ID 5457)
chr2L,13851236,13851626,6000,13862756,13862956,6001,13851626,13862756,11130,9091,2039,0.8168014375561545,gap_te_frac>=0.8,1,13853140-13862231,chr2L:13851236-13851626 (ID 6000) | chr2L:13862756-13862956 (ID 6001)
chr2L,14025730,14026076,6010,14026781,14026981,6011,14026076,14026781,705,283,422,0.4014184397163121,TE_present_and_gap_nonTE_bp<500,1,14026483-14026766,chr2L:14025730-14026076 (ID 6010) | chr2L:14026781-14026981 (ID 6011)
chr2L,15445516,15445716,6131,15453925,15454204,6132,15445716,15453925,8209,7411,798,0.902789621147521,gap_te_frac>=0.8,1,15446106-15453517,chr2L:15445516-15445716 (ID 6131) | chr2L:15453925-15454204 (ID 6132)
chr2L,19146225,19146425,6357,19155041,19155406,6358,19146425,19155041,8616,6981,1635,0.8102367688022284,gap_te_frac>=0.8,1,19147425-19154406,chr2L:19146225-19146425 (ID 6357) | chr2L:19155041-19155406 (ID 6358)
chr2L,19812435,19812909,6412,19816051,19816368,6413,19812909,19816051,3142,2838,304,0.9032463399108848,both_rules,1,19813213-19816051,chr2L:19812435-19812909 (ID 6412) | chr2L:19816051-19816368 (ID 6413)
chr2L,19816051,19816368,6413,19817301,19817501,6414,19816368,19817301,933,933,0,1.0,both_rules,1,19816368-19817301,chr2L:19816051-19816368 (ID 6413) | chr2L:19817301-19817501 (ID 6414)
chr2L,20144391,20144591,6438,20205253,20205457,6439,20144591,20205253,60662,54829,5833,0.9038442517556295,gap_te_frac>=0.8,15,20148651-20150121;20150149-20152812;20152831-20155731;20155809-20156839;20157093-20157335;20157413-20158443;20158697-20165518;20165758-20166090;20166128-20174709;20175007-20175249;20175699-20175776;20175809-20176782;20176783-20198156;20198157-20201453;20201454-20205253,chr2L:20144391-20144591 (ID 6438) | chr2L:20205253-20205457 (ID 6439)
chr2L,20998172,20998372,6485,20998566,20998766,6486,20998372,20998566,194,31,163,0.15979381443298968,TE_present_and_gap_nonTE_bp<500,1,20998535-20998566,chr2L:20998172-20998372 (ID 6485) | chr2L:20998566-20998766 (ID 6486)
chr2L,20998566,20998766,6486,21000439,21000801,6487,20998766,21000439,1673,1378,295,0.8236700537955768,both_rules,1,20998766-21000144,chr2L:20998566-20998766 (ID 6486) | chr2L:21000439-21000801 (ID 6487)
chr2L,21108292,21108670,6501,21109035,21109235,6502,21108670,21109035,365,313,52,0.8575342465753425,both_rules,2,21108721-21108740;21108741-21109035,chr2L:21108292-21108670 (ID 6501) | chr2L:21109035-21109235 (ID 6502)
chr2L,21618759,21619002,6509,21629122,21629561,6510,21619002,21629122,10120,10012,108,0.9893280632411067,both_rules,2,21619002-21625191;21625299-21629122,chr2L:21618759-21619002 (ID 6509) | chr2L:21629122-21629561 (ID 6510)
chr2L,21629122,21629561,6510,21630487,21630687,6511,21629561,21630487,926,926,0,1.0,both_rules,1,21629561-21630487,chr2L:21629122-21629561 (ID 6510) | chr2L:21630487-21630687 (ID 6511)
chr2L,21683482,21683682,6514,21683747,21684105,6515,21683682,21683747,65,65,0,1.0,both_rules,1,21683682-21683747,chr2L:21683482-21683682 (ID 6514) | chr2L:21683747-21684105 (ID 6515)
chr2L,21757292,21757504,6518,21757901,21758161,6519,21757504,21757901,397,397,0,1.0,both_rules,1,21757504-21757901,chr2L:21757292-21757504 (ID 6518) | chr2L:21757901-21758161 (ID 6519)
chr2L,21789275,21789691,6520,21794821,21795106,6521,21789691,21794821,5130,5130,0,1.0,both_rules,1,21789691-21794821,chr2L:21789275-21789691 (ID 6520) | chr2L:21794821-21795106 (ID 6521)
chr2L,22131383,22131883,6548,22142634,22142834,6549,22131883,22142634,10751,10079,672,0.9374941865872942,gap_te_frac>=0.8,4,22132130-22132141;22132147-22132743;22132862-22138250;22138550-22142634,chr2L:22131383-22131883 (ID 6548) | chr2L:22142634-22142834 (ID 6549)
chr2L,22142634,22142834,6549,22144232,22144432,6550,22142834,22144232,1398,1398,0,1.0,both_rules,1,22142834-22144232,chr2L:22142634-22142834 (ID 6549) | chr2L:22144232-22144432 (ID 6550)
chr2L,22144232,22144432,6550,22148622,22149145,6551,22144432,22148622,4190,3904,286,0.9317422434367542,both_rules,1,22144432-22148336,chr2L:22144232-22144432 (ID 6550) | chr2L:22148622-22149145 (ID 6551)
chr2R,4879594,4879794,1,4902716,4902916,2,4879794,4902716,22922,18502,4420,0.8071721490271355,gap_te_frac>=0.8,16,4879794-4881248;4881251-4885987;4886070-4886518;4887507-4887599;4887897-4888275;4888728-4889085;4889092-4895691;4895931-4896116;4896123-4896513;4896535-4898348;4898359-4898983;4898992-4899308;4899935-4900299;4900998-4901164;4901308-4901548;4902376-4902716,chr2R:4879594-4879794 (ID 1) | chr2R:4902716-4902916 (ID 2)
