pair_dir	is_close_gap	is_adjacent_neighbors	LL_hit	RR_hit	LR_hit	RL_hit	LL_RR_double_hit	LR_RL_double_hit	any_double_hit	double_hit_type	best_double_hit_comparison	best_double_hit_evalue	best_double_hit_bitscore	best_double_hit_neg_log10_evalue
FBgn0038056_sm/chr3R_12502172-12502620__chr3R_12505525-12505897	True	True	1	1	0	0	1	0	1	LL_RR	RR	0.0	4476.0	300.0
FBgn0038056_sm/chr3R_12467679-12468072__chr3R_12505525-12505897	False	False	1	1	1	1	1	1	1	BOTH	LR	0.0	4424.0	300.0
FBgn0038056_sm/chr3R_12467679-12468072__chr3R_12502172-12502620	False	False	0	1	1	1	0	1	1	LR_RL	LR	0.0	4422.0	300.0
FBgn0027066_vm_sm/chr2R_6359418-6359689__chr2R_6365997-6366271	False	False	1	1	1	1	1	1	1	BOTH	LL	0.0	2828.0	300.0
FBgn0038056_sm/chr3R_12467679-12468072__chr3R_12477322-12477683	False	False	1	1	1	1	1	1	1	BOTH	RL	0.0	2615.0	300.0
FBgn0002931_Spearman/chr2L_17816-18016__chr2L_20624-20824	True	True	1	1	1	0	1	0	1	LL_RR	LL	0.0	2540.0	300.0
FBgn0037816_Spearman/chr3R_10383102-10383302__chr3R_10386663-10386863	True	False	1	1	1	1	1	1	1	BOTH	RR	0.0	2431.0	300.0
FBgn0038056_sm/chr3R_12477322-12477683__chr3R_12502172-12502620	False	False	1	1	1	1	1	1	1	BOTH	RL	0.0	2214.0	300.0
FBgn0027066_vm_sm/chr2R_6359418-6359689__chr2R_6363538-6363738	True	True	1	1	1	0	1	0	1	LL_RR	RR	0.0	2117.0	300.0
FBgn0027066_vm_sm/chr2R_6363538-6363738__chr2R_6365997-6366271	True	True	1	1	1	0	1	0	1	LL_RR	LL	0.0	2117.0	300.0
FBgn0037816_Spearman/chr3R_10382028-10382228__chr3R_10385663-10385863	True	False	1	1	1	1	1	1	1	BOTH	LL	0.0	1729.0	300.0
FBgn0037816_Spearman/chr3R_10382028-10382228__chr3R_10386663-10386863	True	False	1	1	1	1	1	1	1	BOTH	RL	0.0	1439.0	300.0
