gene_name,dup_components,component_sizes,dup_edges,dup_enhancers_unique_nodes,dup_enhancers_extra_copies
FBgn0002733_Spearman,2,5;2,5,7,5
FBgn0036460_Spearman,1,6,5,6,5
FBgn0002733_Spearman,2,4;2,4,6,4
FBgn0036460_Spearman,1,5,4,5,4
FBgn0038056_sm,1,4,6,4,3
FBgn0038056_sm,1,4,5,4,3
FBgn0024321_sm,1,4,4,4,3
FBgn0038056_sm,1,4,4,4,3
FBgn0000463_Spearman,2,3;2,3,5,3
FBgn0002733_Spearman,3,2;2;2,3,6,3
FBgn0024321_sm,1,4,3,4,3
FBgn0028369_Spearman,2,3;2,3,5,3
FBgn0036460_Spearman,2,3;2,3,5,3
FBgn0038056_sm,1,4,3,4,3
gt,1,4,3,4,3
FBgn0027865_sm,1,3,3,3,2
FBgn0000014_Spearman,2,2;2,2,4,2
FBgn0000014_vm,2,2;2,2,4,2
FBgn0000463_Spearman,2,2;2,2,4,2
FBgn0002733_Spearman,2,2;2,2,4,2
FBgn0003721_vm_sm,2,2;2,2,4,2
FBgn0004456_sm,1,3,2,3,2
FBgn0004606_vm,2,2;2,2,4,2
FBgn0020513_vm,1,3,2,3,2
FBgn0024321_sm,2,2;2,2,4,2
FBgn0027865_sm,1,3,2,3,2
FBgn0028369_Spearman,1,3,2,3,2
FBgn0028369_meso_sm,1,3,2,3,2
FBgn0030451_sm,1,3,2,3,2
FBgn0032487_Spearman,2,2;2,2,4,2
FBgn0036460_Spearman,2,2;2,2,4,2
FBgn0037816_Spearman,2,2;2,2,4,2
FBgn0038056_sm,1,3,2,3,2
gt,1,3,2,3,2
FBgn0000014_Spearman,1,2,1,2,1
FBgn0000014_vm,1,2,1,2,1
FBgn0000261_sm,1,2,1,2,1
FBgn0000463_Spearman,1,2,1,2,1
FBgn0000463_sm,1,2,1,2,1
FBgn0000479_sm,1,2,1,2,1
FBgn0000636_vm,1,2,1,2,1
FBgn0001147_sm,1,2,1,2,1
FBgn0001250_Spearman,1,2,1,2,1
FBgn0002733_Spearman,1,2,1,2,1
FBgn0002772_vm_sm,1,2,1,2,1
FBgn0002931_Spearman,1,2,1,2,1
FBgn0003002_Spearman,1,2,1,2,1
FBgn0003254_sm,1,2,1,2,1
FBgn0003721_vm_sm,1,2,1,2,1
FBgn0003889_sm,1,2,1,2,1
FBgn0003984_vm,1,2,1,2,1
FBgn0004009_Spearman,1,2,1,2,1
FBgn0004110_vm,1,2,1,2,1
FBgn0004456_sm,1,2,1,2,1
FBgn0004606_vm,1,2,1,2,1
FBgn0004858_Spearman,1,2,1,2,1
FBgn0005630_meso,1,2,1,2,1
FBgn0014877_Spearman,1,2,1,2,1
FBgn0015019_Spearman,1,2,1,2,1
FBgn0016041_sm,1,2,1,2,1
FBgn0016120_sm,1,2,1,2,1
FBgn0016715_vm,1,2,1,2,1
FBgn0016794_vm,1,2,1,2,1
FBgn0016930_vm,1,2,1,2,1
FBgn0020235_Spearman,1,2,1,2,1
FBgn0020257_Spearman,1,2,1,2,1
FBgn0020513_vm,1,2,1,2,1
FBgn0020647_vm,1,2,1,2,1
FBgn0021906_Spearman,1,2,1,2,1
FBgn0022029_vm,1,2,1,2,1
FBgn0023540_vm,1,2,1,2,1
FBgn0024321_sm,1,2,1,2,1
FBgn0027088_sm,1,2,1,2,1
FBgn0027865_sm,1,2,1,2,1
FBgn0028369_Spearman,1,2,1,2,1
FBgn0028369_meso_sm,1,2,1,2,1
FBgn0030451_sm,1,2,1,2,1
FBgn0030864_sm,1,2,1,2,1
FBgn0030900_Spearman,1,2,1,2,1
FBgn0031228_sm,1,2,1,2,1
FBgn0031895_vm,1,2,1,2,1
FBgn0031908_sm,1,2,1,2,1
FBgn0032393_vm,1,2,1,2,1
FBgn0032487_Spearman,1,2,1,2,1
FBgn0033654_vm_sm,1,2,1,2,1
FBgn0033782_vm_sm,1,2,1,2,1
FBgn0033998_vm,1,2,1,2,1
FBgn0034013_meso,1,2,1,2,1
FBgn0035379_sm,1,2,1,2,1
FBgn0035956_Spearman,1,2,1,2,1
FBgn0036460_Spearman,1,2,1,2,1
FBgn0037608_sm,1,2,1,2,1
FBgn0037635_vm,1,2,1,2,1
FBgn0037637_sm,1,2,1,2,1
FBgn0037816_Spearman,1,2,1,2,1
FBgn0038056_sm,1,2,1,2,1
FBgn0038292_vm,1,2,1,2,1
FBgn0038536_vm,1,2,1,2,1
FBgn0038536_vm_sm,1,2,1,2,1
FBgn0039627_Spearman,1,2,1,2,1
FBgn0040071_Spearman,1,2,1,2,1
FBgn0041096_Spearman,1,2,1,2,1
FBgn0051536_vm,1,2,1,2,1
FBgn0053207_Spearman,1,2,1,2,1
FBgn0053207_sm,1,2,1,2,1
FBgn0086906_sm,1,2,1,2,1
FBgn0259678_sm,1,2,1,2,1
FBgn0261286_vm,1,2,1,2,1
FBgn0261800_Spearman,1,2,1,2,1
Soxn,1,2,1,2,1
gt,1,2,1,2,1
