set,cohort,pair_dir,nameA,nameB,percent_identity,alignment_score,aligner,gapopen,gapextend,cosine,pearson_r,spearman_r,kmer_combined,pair_key,pair_key_norm
enhancer_hit,enhancer_hit,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0002931_Spearman/chr2L_17816-18016__chr2L_20624-20824,chr2L_17816-18016,chr2L_20624-20824,96.6,976.0,needle,10,0.5,0.9575578226587432,0.9556146607540806,0.9524491830851364,0.9552072221659867,chr2L_17816-18016__chr2L_20624-20824,
enhancer_hit,enhancer_hit,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0004009_Spearman/chr2L_7310393-7310593__chr2L_7312164-7312502,chr2L_7310393-7310593,chr2L_7312164-7312502,85.2,197.5,needle,10,0.5,0.1049221084157769,0.054270062,0.029236079,0.062809416,chr2L_7310393-7310593__chr2L_7312164-7312502,
enhancer_hit,enhancer_hit,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0038056_sm/chr3R_12502172-12502620__chr3R_12505525-12505897,chr3R_12502172-12502620,chr3R_12505525-12505897,83.0,1860.0,needle,10,0.5,0.9331171812438764,0.9277579786096484,0.925545295,0.9288068181771942,chr3R_12502172-12502620__chr3R_12505525-12505897,
enhancer_hit,enhancer_hit,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037816_Spearman/chr3R_10382028-10382228__chr3R_10385663-10385863,chr3R_10382028-10382228,chr3R_10385663-10385863,78.6,880.0,needle,10,0.5,0.8800990167093832,0.8742669692063947,0.8775121963195569,0.8772927274117782,chr3R_10382028-10382228__chr3R_10385663-10385863,
enhancer_hit,enhancer_hit,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037816_Spearman/chr3R_10383102-10383302__chr3R_10386663-10386863,chr3R_10383102-10383302,chr3R_10386663-10386863,60.0,750.0,needle,10,0.5,0.7410944155933632,0.7308040801707689,0.7399022261155879,0.737266907,chr3R_10383102-10383302__chr3R_10386663-10386863,
enhancer_hit,enhancer_hit,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0036460_Spearman/chr3L_14918179-14918521__chr3L_14928799-14929134,chr3L_14918179-14918521,chr3L_14928799-14929134,48.2,370.0,needle,10,0.5,0.3287274700586848,0.291170102,0.1946164021472046,0.2715046580952434,chr3L_14918179-14918521__chr3L_14928799-14929134,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0028369_Spearman/chrX_3103482-3103682__chrX_3103691-3103945,chrX_3103482-3103682,chrX_3103691-3103945,48.1,241.0,needle,10,0.5,0.1490266004881468,0.1150757505668023,0.1046140278759613,0.1229054596436368,chrX_3103482-3103682__chrX_3103691-3103945,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0037608_vm/chr3R_8664009-8664210__chr3R_8664993-8665193,chr3R_8664009-8664210,chr3R_8664993-8665193,47.4,185.5,needle,10,0.5,0.074279736,0.032362864,0.036802078,0.047814893,chr3R_8664009-8664210__chr3R_8664993-8665193,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0036460_Spearman/chr3L_14922238-14922460__chr3L_14930753-14930953,chr3L_14922238-14922460,chr3L_14930753-14930953,47.3,219.0,needle,10,0.5,0.1849538623444938,0.149643369,0.0995079,0.1447017106334623,chr3L_14922238-14922460__chr3L_14930753-14930953,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0263118_Spearman/chr3R_26441174-26441374__chr3R_26442751-26442951,chr3R_26441174-26441374,chr3R_26442751-26442951,47.2,179.0,needle,10,0.5,0.085106383,0.047477921,0.049574133,0.060719479,chr3R_26441174-26441374__chr3R_26442751-26442951,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000406_vm_sm/chr2L_16757637-16757844__chr2L_16762522-16762722,chr2L_16757637-16757844,chr2L_16762522-16762722,47.2,150.5,needle,10,0.5,0.027954861,-0.010875666,-0.007191401,0.003295931,chr2L_16757637-16757844__chr2L_16762522-16762722,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0034739_vm/chr2R_22166944-22167150__chr2R_22168230-22168438,chr2R_22166944-22167150,chr2R_22168230-22168438,46.6,213.5,needle,10,0.5,0.049166461,0.004857687,9.095551032678676e-05,0.018038368,chr2R_22166944-22167150__chr2R_22168230-22168438,
enhancer_hit,enhancer_hit,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0028369_Spearman/chrX_3102934-3103204__chrX_3103691-3103945,chrX_3102934-3103204,chrX_3103691-3103945,46.3,269.5,needle,10,0.5,0.1724145049497162,0.1322584704709054,0.096018243,0.1335637393326289,chrX_3102934-3103204__chrX_3103691-3103945,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0261439_vm_sm/chr2R_19038773-19039303__chr2R_19042052-19042549,chr2R_19038773-19039303,chr2R_19042052-19042549,45.8,444.0,needle,10,0.5,0.1515292711442054,0.060911378,0.074060772,0.095500474,chr2R_19038773-19039303__chr2R_19042052-19042549,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0000014_vm/chr3R_16737098-16737410__chr3R_16814262-16814590,chr3R_16737098-16737410,chr3R_16814262-16814590,45.4,281.0,needle,10,0.5,0.066236778,-0.003743431,-0.003482189,0.019670386,chr3R_16737098-16737410__chr3R_16814262-16814590,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0034432_sm/chr2R_18929511-18929711__chr2R_18948523-18948792,chr2R_18929511-18929711,chr2R_18948523-18948792,45.2,208.5,needle,10,0.5,0.1189670136765089,0.077176868,0.071425551,0.089189811,chr2R_18929511-18929711__chr2R_18948523-18948792,
neither,neither,/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/FBgn0004169_vm_sm/chrX_13540438-13540671__chrX_13566080-13566336,chrX_13540438-13540671,chrX_13566080-13566336,45.1,227.0,needle,10,0.5,0.090716765,0.042155612,0.024597595,0.052489991,chrX_13540438-13540671__chrX_13566080-13566336,
