gene_name,pair,source,flank_hit_class
1110038F14Rik_Heart_Any,chr15:77295287-77297122_chr15:77297878-77302297,enhancer_hit,single
1110038F14Rik_Heart_Any,chr15:77295287-77297122_chr15:77313558-77315429,enhancer_hit,single
1110038F14Rik_Heart_Any,chr15:77297878-77302297_chr15:77313558-77315429,enhancer_hit,single
1110038F14Rik_Limb_Any,chr15:77295287-77297122_chr15:77297878-77302297,enhancer_hit,single
1110038F14Rik_Limb_Any,chr15:77295287-77297122_chr15:77313558-77315429,enhancer_hit,single
1110038F14Rik_Limb_Any,chr15:77297878-77302297_chr15:77313558-77315429,enhancer_hit,single
1110038F14Rik_Limb_E11.5,chr15:77295287-77297122_chr15:77297878-77302297,enhancer_hit,single
1110038F14Rik_Limb_E11.5,chr15:77295287-77297122_chr15:77313558-77315429,enhancer_hit,single
1110038F14Rik_Limb_E11.5,chr15:77297878-77302297_chr15:77313558-77315429,enhancer_hit,single
1190002F15Rik_Heart_Any,chr6:134655886-134657591_chr6:134773744-134775632,enhancer_hit,single
1190002F15Rik_Heart_Any,chr6:134773744-134775632_chr6:134945723-134946723,enhancer_hit,single
1190002F15Rik_Heart_E11.5,chr6:134655886-134657591_chr6:134773744-134775632,enhancer_hit,single
1700001O22Rik_Forebrain_Any,chr2:30503286-30504997_chr2:30701978-30703524,enhancer_hit,single
1700001O22Rik_Forebrain_Any,chr2:30639004-30640982_chr2:30684123-30688346,enhancer_hit,single
1700001O22Rik_Forebrain_Any,chr2:30639004-30640982_chr2:30705590-30714283,enhancer_hit,single
1700001O22Rik_Forebrain_Any,chr2:30684123-30688346_chr2:30701978-30703524,enhancer_hit,single
1700001O22Rik_Forebrain_Any,chr2:30701978-30703524_chr2:30782681-30788120,enhancer_hit,single
1700001O22Rik_Forebrain_Any,chr2:30705590-30714283_chr2:30782681-30788120,enhancer_hit,single
1700001O22Rik_Forebrain_E11.5,chr2:30639004-30640982_chr2:30684123-30688346,enhancer_hit,single
1700001O22Rik_Forebrain_E11.5,chr2:30639004-30640982_chr2:30705590-30714283,enhancer_hit,single
1700001O22Rik_Forebrain_E11.5,chr2:30684123-30688346_chr2:30701978-30703524,enhancer_hit,single
1700001O22Rik_Forebrain_E11.5,chr2:30701978-30703524_chr2:30782681-30788120,enhancer_hit,single
1700001O22Rik_Forebrain_E11.5,chr2:30705590-30714283_chr2:30782681-30788120,enhancer_hit,single
1700001O22Rik_Heart_Any,chr2:30503286-30504997_chr2:30701978-30703524,enhancer_hit,single
1700001O22Rik_Heart_Any,chr2:30639004-30640982_chr2:30684123-30688346,enhancer_hit,single
1700001O22Rik_Heart_Any,chr2:30639004-30640982_chr2:30705590-30714283,enhancer_hit,single
1700001O22Rik_Heart_Any,chr2:30684123-30688346_chr2:30701978-30703524,enhancer_hit,single
1700001O22Rik_Heart_Any,chr2:30701978-30703524_chr2:30782681-30788120,enhancer_hit,single
