chr,shadow_set,enh1_start,enh1_end,enh2_start,enh2_end,gap_start,gap_end,gap_bp,gap_te_bp,gap_nonTE_bp,gap_te_frac,criterion_met,n_te_segments_in_gap,te_segments_in_gap,pair_label
chr2R,FBgn0014028_vm,6412842,6413057,6413232,6413731,6413057,6413232,175,175,0,1.0,both_rules,1,6413057-6413232,FBgn0014028_vm: chr2R:6412842-6413057 | chr2R:6413232-6413731
chr2R,FBgn0014028_vm_sm,6411991,6412223,6436010,6436295,6412223,6436010,23787,23212,575,0.9758271324673141,gap_te_frac>=0.8,6,6412223-6415325;6415327-6416664;6417222-6418991;6419004-6420120;6420121-6435736;6435737-6436010,FBgn0014028_vm_sm: chr2R:6411991-6412223 | chr2R:6436010-6436295
chr3L,FBgn0026409_sm,14524405,14524880,14526208,14526538,14524880,14526208,1328,1328,0,1.0,both_rules,1,14524880-14526208,FBgn0026409_sm: chr3L:14524405-14524880 | chr3L:14526208-14526538
chr2R,FBgn0027066_vm_sm,6359418,6359689,6363538,6363738,6359689,6363538,3849,3624,225,0.9415432579890881,both_rules,3,6359711-6361713;6361737-6361977;6362156-6363538,FBgn0027066_vm_sm: chr2R:6359418-6359689 | chr2R:6363538-6363738
chr2R,FBgn0027066_vm_sm,6363538,6363738,6365997,6366271,6363738,6365997,2259,2259,0,1.0,both_rules,1,6363738-6365997,FBgn0027066_vm_sm: chr2R:6363538-6363738 | chr2R:6365997-6366271
chrX,FBgn0029885_vm,6565029,6565230,6572042,6572321,6565230,6572042,6812,6071,741,0.8912213740458015,gap_te_frac>=0.8,1,6565230-6571301,FBgn0029885_vm: chrX:6565029-6565230 | chrX:6572042-6572321
chr3L,FBgn0036449_vm,14727354,14728074,14728691,14729056,14728074,14728691,617,507,110,0.8217179902755267,both_rules,1,14728074-14728581,FBgn0036449_vm: chr3L:14727354-14728074 | chr3L:14728691-14729056
chr3R,FBgn0037608_sm,8668848,8669048,8669125,8669443,8669048,8669125,77,46,31,0.5974025974025974,TE_present_and_gap_nonTE_bp<500,1,8669079-8669125,FBgn0037608_sm: chr3R:8668848-8669048 | chr3R:8669125-8669443
chr3R,FBgn0038056_sm,12467679,12468072,12477322,12477683,12468072,12477322,9250,8156,1094,0.8817297297297297,gap_te_frac>=0.8,4,12468478-12469312;12469667-12470922;12471054-12472189;12472390-12477322,FBgn0038056_sm: chr3R:12467679-12468072 | chr3R:12477322-12477683
chr3R,FBgn0038056_sm,12477322,12477683,12502172,12502620,12477683,12502172,24489,23354,1135,0.9536526603781289,gap_te_frac>=0.8,7,12477683-12490214;12490569-12490738;12490739-12491159;12491168-12496540;12496569-12497205;12497527-12500980;12501194-12501967,FBgn0038056_sm: chr3R:12477322-12477683 | chr3R:12502172-12502620
chr2L,esg,15331388,15332093,15332558,15332979,15332093,15332558,465,465,0,1.0,both_rules,1,15332093-15332558,esg: chr2L:15331388-15332093 | chr2L:15332558-15332979
