pair_dir	comparison	status	blast_path	log_path	is_close_gap	is_adjacent_neighbors	hits_count	best_evalue	best_bitscore	best_pident	best_length	best_qcovhsp
NULL/chr2L_1074290-1074681__chr2L_17744617-17744940	LL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_17744617-17744940/blast/LL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_17744617-17744940/blast/LL/blast.log	False	False	1	0.77	22.9	100.0	12	0.0
NULL/chr2L_1074290-1074681__chr2L_17744617-17744940	LR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_17744617-17744940/blast/LR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_17744617-17744940/blast/LR/blast.log	False	False	2	0.22	25.6	93.75	16	1.0
NULL/chr2L_1074290-1074681__chr2L_17744617-17744940	RL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_17744617-17744940/blast/RL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_17744617-17744940/blast/RL/blast.log	False	False	2	0.064	27.4	94.118	17	1.0
NULL/chr2L_1074290-1074681__chr2L_17744617-17744940	RR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_17744617-17744940/blast/RR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_17744617-17744940/blast/RR/blast.log	False	False	4	0.064	26.5	89.474	19	1.0
NULL/chr2L_1074290-1074681__chr2L_7312164-7312502	LL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_7312164-7312502/blast/LL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_7312164-7312502/blast/LL/blast.log	False	False	1	0.48	22.9	100.0	12	1.0
NULL/chr2L_1074290-1074681__chr2L_7312164-7312502	LR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_7312164-7312502/blast/LR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_7312164-7312502/blast/LR/blast.log	False	False	1	0.77	22.9	100.0	12	0.0
NULL/chr2L_1074290-1074681__chr2L_7312164-7312502	RL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_7312164-7312502/blast/RL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_7312164-7312502/blast/RL/blast.log	False	False	1	0.48	22.9	100.0	12	1.0
NULL/chr2L_1074290-1074681__chr2L_7312164-7312502	RR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_7312164-7312502/blast/RR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_7312164-7312502/blast/RR/blast.log	False	False	0				0	
NULL/chr2L_1074290-1074681__chr2L_8843634-8843738	LL	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_8843634-8843738/blast/LL/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_8843634-8843738/blast/LL/blast.log	False	False	2	0.92	21.1	100.0	11	1.0
NULL/chr2L_1074290-1074681__chr2L_8843634-8843738	LR	OK	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_8843634-8843738/blast/LR/blast_hits.tsv	/Users/jillianness/Desktop/SEbirthanalysis1024/new_LASTZ_analysis/flank_null_lastz/null_pairs_flanks_nooverlap_2/NULL/chr2L_1074290-1074681__chr2L_8843634-8843738/blast/LR/blast.log	False	False	3	0.016	29.2	95.0	20	1.0
