sample,raw_splice_gap_bp,mapq
Dmel_ISO1,624,
GCA_020141495.1_ASM2014149v1,622,60
GCA_020141505.1_ASM2014150v1,623,60
GCA_020141515.1_ASM2014151v1,623,60
GCA_020141575.1_ASM2014157v1,626,60
GCA_020141595.1_ASM2014159v1,317,60
GCA_020141625.1_ASM2014162v1,366,60
GCA_020141705.1_ASM2014170v1,621,60
GCA_020141745.1_ASM2014174v1,627,60
GCA_020141985.1_ASM2014198v1,375,60
GCA_020142045.1_ASM2014204v1,319,60
