pair_dir	comparison	status	blast_path	log_path	is_close_gap	is_adjacent_neighbors	hits_count	best_evalue	best_bitscore	best_pident	best_length	best_qcovhsp
NULL/chr10_109831820-109833761__chr10_126140850-126146144	LL	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_109831820-109833761__chr10_126140850-126146144/blast/LL/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_109831820-109833761__chr10_126140850-126146144/blast/LL/blast.log	False	False	2	0.22	24.7	100.0	13	1.0
NULL/chr10_109831820-109833761__chr10_126140850-126146144	LR	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_109831820-109833761__chr10_126140850-126146144/blast/LR/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_109831820-109833761__chr10_126140850-126146144/blast/LR/blast.log	False	False	1	0.77	22.9	100.0	12	0.0
NULL/chr10_109831820-109833761__chr10_126140850-126146144	RL	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_109831820-109833761__chr10_126140850-126146144/blast/RL/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_109831820-109833761__chr10_126140850-126146144/blast/RL/blast.log	False	False	0				0	
NULL/chr10_109831820-109833761__chr10_126140850-126146144	RR	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_109831820-109833761__chr10_126140850-126146144/blast/RR/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_109831820-109833761__chr10_126140850-126146144/blast/RR/blast.log	False	False	13	4.01e-17	77.9	94.118	51	2.0
NULL/chr10_116755723-116757125__chr10_120398406-120401301	LL	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_116755723-116757125__chr10_120398406-120401301/blast/LL/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_116755723-116757125__chr10_120398406-120401301/blast/LL/blast.log	False	False	11	0.000428	34.6	95.238	21	1.0
NULL/chr10_116755723-116757125__chr10_120398406-120401301	LR	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_116755723-116757125__chr10_120398406-120401301/blast/LR/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_116755723-116757125__chr10_120398406-120401301/blast/LR/blast.log	False	False	14	8.26e-07	43.7	69.903	103	4.0
NULL/chr10_116755723-116757125__chr10_120398406-120401301	RL	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_116755723-116757125__chr10_120398406-120401301/blast/RL/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_116755723-116757125__chr10_120398406-120401301/blast/RL/blast.log	False	False	13	0.000566	34.6	95.238	21	1.0
NULL/chr10_116755723-116757125__chr10_120398406-120401301	RR	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_116755723-116757125__chr10_120398406-120401301/blast/RR/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_116755723-116757125__chr10_120398406-120401301/blast/RR/blast.log	False	False	15	3.35e-13	64.4	74.107	112	4.0
NULL/chr10_12831803-12837046__chr10_70948350-70953563	LL	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_12831803-12837046__chr10_70948350-70953563/blast/LL/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_12831803-12837046__chr10_70948350-70953563/blast/LL/blast.log	False	False	5	0.000123	35.6	86.207	29	1.0
NULL/chr10_12831803-12837046__chr10_70948350-70953563	LR	OK	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_12831803-12837046__chr10_70948350-70953563/blast/LR/blast_hits.tsv	/project/wunderl/Jillian/null_BLAST_output_2/NULL/chr10_12831803-12837046__chr10_70948350-70953563/blast/LR/blast.log	False	False	5	8.26e-07	42.8	90.625	32	1.0
