gene_name,pair
FBgn0038536_vm,chr3R:17705753-17706062_chr3R:17712387-17713045
FBgn0016120_sm,chr3R:19107971-19108412_chr3R:19092386-19092991
FBgn0016930_vm,chr2L:14248855-14249055_chr2L:14211117-14211371
FBgn0000014_vm,chr3R:16814262-16814590_chr3R:16904976-16905213
FBgn0000014_vm,chr3R:16813228-16813680_chr3R:16841943-16842333
FBgn0038056_sm,chr3R:12502172-12502620_chr3R:12505525-12505897
FBgn0038056_sm,chr3R:12502172-12502620_chr3R:12467679-12468072
FBgn0038056_sm,chr3R:12477322-12477683_chr3R:12467679-12468072
FBgn0038056_sm,chr3R:12477322-12477683_chr3R:12505525-12505897
FBgn0038056_sm,chr3R:12505525-12505897_chr3R:12467679-12468072
FBgn0038056_sm,chr3R:12502172-12502620_chr3R:12477322-12477683
FBgn0039627_Spearman,chr3R:29065872-29066072_chr3R:29064683-29065106
FBgn0004858_Spearman,chr2L:14445719-14445919_chr2L:14443791-14444179
FBgn0016794_vm,chr3L:2562100-2562492_chr3L:2566292-2566652
FBgn0033998_vm,chr2R:14877876-14878280_chr2R:14874175-14874447
FBgn0031228_sm,chr2L:166574-166924_chr2L:161603-162045
gt,chrX:2437107-2437533_chrX:2429927-2430850
gt,chrX:2431852-2432159_chrX:2429927-2430850
gt,chrX:2440952-2442340_chrX:2429927-2430850
FBgn0016041_sm,chrX:7650029-7650229_chrX:7617780-7617980
FBgn0003889_sm,chr3R:9393661-9394054_chr3R:9417532-9417927
FBgn0003721_vm_sm,chr3R:15289850-15290050_chr3R:15311608-15312057
FBgn0003721_vm_sm,chr3R:15282470-15282698_chr3R:15286228-15286550
FBgn0003002_Spearman,chr3R:4960008-4960208_chr3R:4913812-4914012
FBgn0003254_sm,chr2R:18881394-18881804_chr2R:18898203-18898705
FBgn0003984_vm,chr3L:5811621-5811828_chr3L:5821284-5821579
FBgn0002733_Spearman,chr3R:26017398-26017815_chr3R:26002453-26002853
FBgn0002733_Spearman,chr3R:26010258-26010647_chr3R:26018200-26018652
FBgn0031908_sm,chr2L:7407733-7408080_chr2L:7404967-7405167
FBgn0020235_Spearman,chr3R:29771806-29772210_chr3R:29774631-29774899
FBgn0053207_Spearman,chr3R:15643161-15643399_chr3R:15670860-15671233
FBgn0024321_sm,chr3R:14346999-14347237_chr3R:14372918-14373876
FBgn0024321_sm,chr3R:14382371-14382571_chr3R:14370227-14370493
FBgn0024321_sm,chr3R:14346999-14347237_chr3R:14370227-14370493
FBgn0024321_sm,chr3R:14382371-14382571_chr3R:14346999-14347237
FBgn0027865_sm,chr3R:25879434-25879634_chr3R:25880902-25881203
FBgn0027865_sm,chr3R:25880902-25881203_chr3R:25851620-25852011
FBgn0027865_sm,chr3R:25879434-25879634_chr3R:25851620-25852011
FBgn0040071_Spearman,chr3R:16234208-16234580_chr3R:16235670-16236148
FBgn0020513_vm,chrX:12676886-12677437_chrX:12693668-12694287
FBgn0020513_vm,chrX:12676886-12677437_chrX:12692632-12693074
FBgn0038536_vm_sm,chr3R:17682975-17683237_chr3R:17681245-17681597
FBgn0014877_Spearman,chr2R:13194170-13194587_chr2R:13198071-13198730
FBgn0000014_Spearman,chr3R:16857769-16858049_chr3R:16882506-16882728
FBgn0000014_Spearman,chr3R:16920451-16920854_chr3R:16878885-16879147
FBgn0002931_Spearman,chr2L:17816-18016_chr2L:20624-20824
FBgn0032393_vm,chr2L:12003862-12004365_chr2L:12007022-12007307
FBgn0022029_vm,chr2R:17054642-17054966_chr2R:17019592-17019979
FBgn0002772_vm_sm,chr3R:27636779-27637140_chr3R:27659306-27659544
