pair_dir	status	blocks	best_aligned_len	best_identity_pct	maf_path
chr3R_16891893-16892448__chr3R_16901949-16902502	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16891893-16892448__chr3R_16901949-16902502/alignments/enhancers/lastz.maf
chr3R_16891893-16892448__chr3R_16920234-16921056	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16891893-16892448__chr3R_16920234-16921056/alignments/enhancers/lastz.maf
chr3R_16891893-16892448__chr3R_16921371-16921858	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16891893-16892448__chr3R_16921371-16921858/alignments/enhancers/lastz.maf
chr3R_16901949-16902502__chr3R_16920234-16921056	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16901949-16902502__chr3R_16920234-16921056/alignments/enhancers/lastz.maf
chr3R_16901949-16902502__chr3R_16921371-16921858	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16901949-16902502__chr3R_16921371-16921858/alignments/enhancers/lastz.maf
chr3R_16920234-16921056__chr3R_16921371-16921858	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/Abd-B/chr3R_16920234-16921056__chr3R_16921371-16921858/alignments/enhancers/lastz.maf
chr3L_5979576-5979770__chr3L_5989752-5990383	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/CG10479/chr3L_5979576-5979770__chr3L_5989752-5990383/alignments/enhancers/lastz.maf
chr3L_5979576-5979770__chr3L_5991306-5991899	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/CG10479/chr3L_5979576-5979770__chr3L_5991306-5991899/alignments/enhancers/lastz.maf
chr3L_5989752-5990383__chr3L_5991306-5991899	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/CG10479/chr3L_5989752-5990383__chr3L_5991306-5991899/alignments/enhancers/lastz.maf
chr3L_14152518-14152826__chr3L_14153051-14154215	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/D/chr3L_14152518-14152826__chr3L_14153051-14154215/alignments/enhancers/lastz.maf
chr3L_14152518-14152826__chr3L_14171965-14172435	OK	0	0	0.0	/Users/jillianness/Downloads/new_LASTZ_analysis/enhancer_extraction/enhancer_pairs/D/chr3L_14152518-14152826__chr3L_14171965-14172435/alignments/enhancers/lastz.maf
