pair_dir	is_close_gap	is_adjacent_neighbors	LL_hit	RR_hit	LR_hit	RL_hit	LL_RR_double_hit	LR_RL_double_hit	any_double_hit	double_hit_type	best_double_hit_comparison	best_double_hit_evalue	best_double_hit_bitscore	best_double_hit_neg_log10_evalue
NULL/chr2L_1074290-1074681__chr2L_17744617-17744940	False	False	1	1	1	1	1	1	1	BOTH	RL	0.064	27.4	1.193820026016113
NULL/chr2L_1074290-1074681__chr2L_7312164-7312502	False	False	1	0	1	1	0	1	1	LR_RL	RL	0.48	22.9	0.3187587626244128
NULL/chr2L_1074290-1074681__chr2L_8843634-8843738	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.016	29.2	1.7958800173440752
NULL/chr2L_1118230-1118839__chr2L_14484848-14485326	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.12	26.5	0.9208187539523752
NULL/chr2L_1118230-1118839__chr2L_18894563-18895695	False	False	0	0	1	1	0	1	1	LR_RL	RL	0.043	26.5	1.3665315444204136
NULL/chr2L_1118230-1118839__chr2L_7407733-7408080	False	False	1	1	1	1	1	1	1	BOTH	RR	0.034	28.3	1.4685210829577449
NULL/chr2L_1123442-1123872__chr2L_16277332-16277560	False	False	1	1	1	1	1	1	1	BOTH	LR	0.034	28.3	1.4685210829577449
NULL/chr2L_1123442-1123872__chr2L_20473787-20474193	False	False	0	1	0	1	0	0	0	NONE				
NULL/chr2L_1123442-1123872__chr2L_6422856-6423068	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.22	24.7	0.6575773191777937
NULL/chr2L_1123442-1123872__chr2L_7300056-7300353	False	False	1	1	1	1	1	1	1	BOTH	LL	0.12	27.4	0.9208187539523752
NULL/chr2L_1123442-1123872__chr2L_9989401-9989775	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_11415248-11415544__chr2L_14484848-14485326	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.072	26.5	1.1426675035687315
NULL/chr2L_11452852-11453384__chr2L_12090222-12090543	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.018	28.3	1.744727494896694
NULL/chr2L_11458598-11459020__chr2L_14410187-14410566	False	False	1	1	1	1	1	1	1	BOTH	RL	0.064	26.5	1.193820026016113
NULL/chr2L_11458598-11459020__chr2L_14481618-14482010	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.22	24.7	0.6575773191777937
NULL/chr2L_11458598-11459020__chr2L_21835079-21835348	False	False	0	0	0	1	0	0	0	NONE				
NULL/chr2L_1157764-1158130__chr2L_12655423-12655623	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.11	26.5	0.958607314841775
NULL/chr2L_1157764-1158130__chr2L_18894031-18894287	False	False	0	0	1	0	0	0	0	NONE				
NULL/chr2L_1157764-1158130__chr2L_4363652-4364006	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_1162261-1162810__chr2L_15482011-15482211	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_1162261-1162810__chr2L_16277332-16277560	False	False	0	0	1	1	0	1	1	LR_RL	RL	0.008	29.2	2.0969100130080562
NULL/chr2L_1162261-1162810__chr2L_6076424-6076624	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.02	26.5	1.6989700043360187
NULL/chr2L_12003862-12004365__chr2L_14410187-14410566	False	False	1	0	1	1	0	1	1	LR_RL	RL	0.001	32.8	3.0
NULL/chr2L_12003862-12004365__chr2L_18498013-18498258	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_12003862-12004365__chr2L_18894563-18895695	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_12003862-12004365__chr2L_19215078-19215278	False	False	1	1	1	1	1	1	1	BOTH	RL	0.064	27.4	1.193820026016113
NULL/chr2L_12003862-12004365__chr2L_20298155-20298629	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_12003862-12004365__chr2L_21831155-21831728	False	False	1	1	1	1	1	1	1	BOTH	LL	0.064	27.4	1.193820026016113
NULL/chr2L_12003862-12004365__chr2L_21835079-21835348	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_12007022-12007307__chr2L_15475634-15475834	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.064	27.4	1.193820026016113
NULL/chr2L_12007022-12007307__chr2L_18498013-18498258	False	False	1	1	1	1	1	1	1	BOTH	RL	0.065	26.5	1.1870866433571443
NULL/chr2L_12007022-12007307__chr2L_19759686-19760051	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.23	24.7	0.638272163982407
NULL/chr2L_12007022-12007307__chr2L_21836087-21836312	False	False	1	0	1	1	0	1	1	LR_RL	RL	0.58	23.8	0.23657200643706275
NULL/chr2L_12009847-12010112__chr2L_15475634-15475834	False	False	0	1	1	1	0	1	1	LR_RL	LR	0.065	27.4	1.1870866433571443
NULL/chr2L_12080941-12081738__chr2L_14245654-14246036	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.005	30.1	2.3010299956639813
NULL/chr2L_12080941-12081738__chr2L_14434419-14434949	False	False	1	1	1	1	1	1	1	BOTH	RR	0.004	27.4	2.3979400086720375
NULL/chr2L_12082256-12083149__chr2L_15333222-15333912	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_12088676-12088812__chr2L_12594000-12594200	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.000123	35.6	3.910094888560602
NULL/chr2L_12088676-12088812__chr2L_14261983-14262284	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_12088676-12088812__chr2L_14443791-14444179	False	False	0	0	1	0	0	0	0	NONE				
NULL/chr2L_12088676-12088812__chr2L_20473787-20474193	False	False	1	1	0	1	1	0	1	LL_RR	RR	0.27	25.6	0.5686362358410126
NULL/chr2L_12089073-12089963__chr2L_12655423-12655623	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.27	21.1	0.5686362358410126
NULL/chr2L_12594000-12594200__chr2L_18329506-18330029	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.011	29.2	1.958607314841775
NULL/chr2L_12594000-12594200__chr2L_20473787-20474193	False	False	1	1	1	1	1	1	1	BOTH	RR	0.064	26.5	1.193820026016113
NULL/chr2L_12617842-12618274__chr2L_14476624-14476824	False	False	1	1	1	1	1	1	1	BOTH	RL	3.51e-05	37.4	4.454692883534176
NULL/chr2L_12617842-12618274__chr2L_14537085-14537454	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.77	23.8	0.11350927482751812
NULL/chr2L_12617842-12618274__chr2L_17744617-17744940	False	False	1	1	1	1	1	1	1	BOTH	LL	0.018	28.3	1.744727494896694
NULL/chr2L_12617842-12618274__chr2L_21840673-21841262	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_12655423-12655623__chr2L_14446412-14446612	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_13205136-13205433__chr2L_20298155-20298629	False	False	1	1	0	1	1	0	1	LL_RR	RR	0.018	29.2	1.744727494896694
NULL/chr2L_13211918-13212118__chr2L_14238009-14238297	False	False	1	1	1	1	1	1	1	BOTH	LR	0.005	30.1	2.3010299956639813
NULL/chr2L_13215675-13216164__chr2L_14245654-14246036	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.064	26.5	1.193820026016113
NULL/chr2L_13225382-13225582__chr2L_13260602-13260802	False	False	1	1	0	1	1	0	1	LL_RR	RR	0.008	31.0	2.0969100130080562
NULL/chr2L_13225382-13225582__chr2L_14446412-14446612	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_13225382-13225582__chr2L_15323128-15323794	False	False	1	1	1	1	1	1	1	BOTH	LL	0.031	25.6	1.5086383061657274
NULL/chr2L_13225382-13225582__chr2L_21835079-21835348	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_13229384-13229619__chr2L_13254815-13255036	False	False	0	0	0	1	0	0	0	NONE				
NULL/chr2L_13229384-13229619__chr2L_14248855-14249055	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.22	25.6	0.6575773191777937
NULL/chr2L_13229384-13229619__chr2L_14410187-14410566	False	False	1	1	1	1	1	1	1	BOTH	LL	0.008	30.1	2.0969100130080562
NULL/chr2L_13254815-13255036__chr2L_14248855-14249055	False	False	1	1	1	1	1	1	1	BOTH	RR	0.064	27.4	1.193820026016113
NULL/chr2L_13254815-13255036__chr2L_14497639-14498275	False	False	1	1	1	1	1	1	1	BOTH	RL	0.001	31.9	3.0
NULL/chr2L_13260602-13260802__chr2L_14230546-14231007	False	False	1	1	1	1	1	1	1	BOTH	LR	0.018	29.2	1.744727494896694
NULL/chr2L_13260602-13260802__chr2L_14476624-14476824	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.018	28.3	1.744727494896694
NULL/chr2L_14230546-14231007__chr2L_15332558-15332979	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.012	27.4	1.9208187539523751
NULL/chr2L_14238009-14238297__chr2L_20304372-20304698	False	False	1	1	1	1	1	1	1	BOTH	RL	0.018	29.2	1.744727494896694
NULL/chr2L_14245654-14246036__chr2L_14410187-14410566	False	False	1	1	1	1	1	1	1	BOTH	LR	0.001	31.9	3.0
NULL/chr2L_14248855-14249055__chr2L_14453181-14453682	False	False	1	1	1	1	1	1	1	BOTH	LR	0.005	30.1	2.3010299956639813
NULL/chr2L_14248855-14249055__chr2L_15323128-15323794	False	False	0	0	1	0	0	0	0	NONE				
NULL/chr2L_14265078-14265431__chr2L_14443791-14444179	False	False	1	1	1	1	1	1	1	BOTH	RL	0.064	26.5	1.193820026016113
NULL/chr2L_14265078-14265431__chr2L_17736424-17736667	False	False	1	1	1	1	1	1	1	BOTH	LR	0.02	29.2	1.6989700043360187
NULL/chr2L_14265078-14265431__chr2L_21836087-21836312	False	False	0	1	1	1	0	1	1	LR_RL	LR	0.000151	36.5	3.8210230527068307
NULL/chr2L_14267350-14267653__chr2L_21797958-21798158	False	False	1	1	1	1	1	1	1	BOTH	LL	0.018	28.3	1.744727494896694
NULL/chr2L_14434419-14434949__chr2L_21831155-21831728	False	False	1	1	1	1	1	1	1	BOTH	LL	0.22	24.7	0.6575773191777937
NULL/chr2L_14434419-14434949__chr2L_21835353-21835553	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_14435741-14436213__chr2L_15331388-15332093	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.069	25.6	1.1611509092627446
NULL/chr2L_14435741-14436213__chr2L_17744617-17744940	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.24	22.9	0.619788758288394
NULL/chr2L_14443791-14444179__chr2L_18894563-18895695	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_14444805-14445074__chr2L_15333222-15333912	False	False	0	0	1	1	0	1	1	LR_RL	RL	0.002	28.3	2.6989700043360187
NULL/chr2L_14444805-14445074__chr2L_16763500-16763743	False	False	1	1	1	1	1	1	1	BOTH	RR	0.049	25.6	1.3098039199714864
NULL/chr2L_14445719-14445919__chr2L_16762522-16762722	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_14476624-14476824__chr2L_15475634-15475834	False	False	1	0	1	1	0	1	1	LR_RL	RL	0.22	24.7	0.6575773191777937
NULL/chr2L_14476624-14476824__chr2L_18977693-18978042	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_14476624-14476824__chr2L_20468678-20469091	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.018	28.3	1.744727494896694
NULL/chr2L_14476624-14476824__chr2L_21835353-21835553	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_14481618-14482010__chr2L_15323128-15323794	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_14481618-14482010__chr2L_21797958-21798158	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_14484848-14485326__chr2L_21840673-21841262	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_14497639-14498275__chr2L_15475634-15475834	False	False	1	1	1	1	1	1	1	BOTH	RR	0.064	27.4	1.193820026016113
NULL/chr2L_14517261-14517665__chr2L_20298155-20298629	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_14527451-14527987__chr2L_15323946-15324408	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_14540200-14540420__chr2L_16757637-16757844	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_14540200-14540420__chr2L_21835353-21835553	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_15323128-15323794__chr2L_21835079-21835348	False	False	0	0	0	1	0	0	0	NONE				
NULL/chr2L_15323946-15324408__chr2L_16757034-16757234	False	False	0	0	0	1	0	0	0	NONE				
NULL/chr2L_15331388-15332093__chr2L_17744617-17744940	False	False	1	1	1	1	1	1	1	BOTH	LL	0.001	31.9	3.0
NULL/chr2L_15332558-15332979__chr2L_20468678-20469091	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_15333222-15333912__chr2L_18874978-18876337	False	False	0	0	1	0	0	0	0	NONE				
NULL/chr2L_15482011-15482211__chr2L_16276078-16276279	False	False	0	1	1	1	0	1	1	LR_RL	LR	0.093	25.6	1.031517051446065
NULL/chr2L_160687-161034__chr2L_12080941-12081738	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_160687-161034__chr2L_16757637-16757844	False	False	1	1	0	0	1	0	1	LL_RR	RR	0.05	25.6	1.3010299956639813
NULL/chr2L_160687-161034__chr2L_9988598-9989094	False	False	1	0	0	0	0	0	0	NONE				
NULL/chr2L_161603-162045__chr2L_14434419-14434949	False	False	1	1	0	1	1	0	1	LL_RR	RR	0.44	22.9	0.3565473235138126
NULL/chr2L_161603-162045__chr2L_18874978-18876337	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_161603-162045__chr2L_6751919-6752178	False	False	0	1	0	1	0	0	0	NONE				
NULL/chr2L_161603-162045__chr2L_7407733-7408080	False	False	0	1	0	0	0	0	0	NONE				
NULL/chr2L_16276078-16276279__chr2L_18476378-18477012	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.064	26.5	1.193820026016113
NULL/chr2L_16276078-16276279__chr2L_18926370-18926570	False	False	1	1	1	1	1	1	1	BOTH	RL	0.027	26.5	1.5686362358410126
NULL/chr2L_16277332-16277560__chr2L_18315739-18316039	False	False	1	1	1	1	1	1	1	BOTH	RL	0.064	26.5	1.193820026016113
NULL/chr2L_16277332-16277560__chr2L_18874725-18874929	False	False	0	0	0	1	0	0	0	NONE				
NULL/chr2L_16277332-16277560__chr2L_20298155-20298629	False	False	1	1	1	1	1	1	1	BOTH	LR	0.027	26.5	1.5686362358410126
NULL/chr2L_16277332-16277560__chr2L_21835079-21835348	False	False	0	0	0	1	0	0	0	NONE				
NULL/chr2L_1645971-1646171__chr2L_15331388-15332093	False	False	1	1	1	1	1	1	1	BOTH	RL	0.001	31.9	3.0
NULL/chr2L_1645971-1646171__chr2L_17744617-17744940	False	False	1	1	1	1	1	1	1	BOTH	RR	0.018	28.3	1.744727494896694
NULL/chr2L_1645971-1646171__chr2L_4370195-4370400	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.018	28.3	1.744727494896694
NULL/chr2L_1645971-1646171__chr2L_9551353-9551553	False	False	1	1	1	1	1	1	1	BOTH	LR	0.000123	36.5	3.910094888560602
NULL/chr2L_1657116-1657316__chr2L_12088676-12088812	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.022	24.7	1.6575773191777938
NULL/chr2L_1657116-1657316__chr2L_12655423-12655623	False	False	1	1	1	1	1	1	1	BOTH	LL	0.018	28.3	1.744727494896694
NULL/chr2L_1657116-1657316__chr2L_15475634-15475834	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.22	25.6	0.6575773191777937
NULL/chr2L_1657116-1657316__chr2L_18329506-18330029	False	False	1	1	1	1	1	1	1	BOTH	LR	0.000255	34.6	3.593459819566045
NULL/chr2L_1657116-1657316__chr2L_19215078-19215278	False	False	1	1	1	1	1	1	1	BOTH	RR	0.035	27.4	1.4559319556497243
NULL/chr2L_1657116-1657316__chr2L_4282002-4282202	False	False	1	1	1	1	1	1	1	BOTH	LR	0.000123	36.5	3.910094888560602
NULL/chr2L_1657116-1657316__chr2L_8278110-8278488	False	False	1	1	1	1	1	1	1	BOTH	RR	0.000428	33.7	3.3685562309868278
NULL/chr2L_1657116-1657316__chr2L_8840416-8841144	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_166574-166924__chr2L_1645971-1646171	False	False	1	1	1	1	1	1	1	BOTH	LL	0.003	31.9	2.5228787452803374
NULL/chr2L_166574-166924__chr2L_18874725-18874929	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_166574-166924__chr2L_18977693-18978042	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.073	22.9	1.136677139879544
NULL/chr2L_166574-166924__chr2L_21831155-21831728	False	False	1	1	1	1	1	1	1	BOTH	LR	0.009	30.1	2.0457574905606752
NULL/chr2L_166574-166924__chr2L_7808917-7809117	False	False	1	1	1	1	1	1	1	BOTH	LL	0.009	30.1	2.0457574905606752
NULL/chr2L_16757034-16757234__chr2L_16763500-16763743	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_17736424-17736667__chr2L_18874978-18876337	False	False	0	0	1	0	0	0	0	NONE				
NULL/chr2L_17816-18016__chr2L_1074290-1074681	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_17816-18016__chr2L_14265078-14265431	False	False	1	1	1	1	1	1	1	BOTH	LL	0.002	31.9	2.6989700043360187
NULL/chr2L_17816-18016__chr2L_14527451-14527987	False	False	1	1	1	1	1	1	1	BOTH	RL	0.066	27.4	1.1804560644581312
NULL/chr2L_17816-18016__chr2L_6411470-6411744	False	False	1	1	1	1	1	1	1	BOTH	RL	0.019	28.3	1.7212463990471711
NULL/chr2L_17816-18016__chr2L_8846495-8847235	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_18329506-18330029__chr2L_18926370-18926570	False	False	1	1	1	1	1	1	1	BOTH	RR	0.000889	31.9	3.0510982390297863
NULL/chr2L_18329506-18330029__chr2L_21836087-21836312	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.042	26.5	1.3767507096020994
NULL/chr2L_18331524-18331944__chr2L_21797958-21798158	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_18332556-18332942__chr2L_21835353-21835553	False	False	0	0	1	0	0	0	0	NONE				
NULL/chr2L_18874725-18874929__chr2L_21797958-21798158	False	False	1	0	0	0	0	0	0	NONE				
NULL/chr2L_18894031-18894287__chr2L_18926370-18926570	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_18894031-18894287__chr2L_18977693-18978042	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_18894031-18894287__chr2L_20304372-20304698	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_18894031-18894287__chr2L_20473787-20474193	False	False	0	1	0	1	0	0	0	NONE				
NULL/chr2L_19215078-19215278__chr2L_19760541-19760780	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_19215078-19215278__chr2L_21840673-21841262	False	False	1	1	1	1	1	1	1	BOTH	RL	0.005	26.5	2.3010299956639813
NULL/chr2L_19215688-19216293__chr2L_19760541-19760780	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_19759686-19760051__chr2L_21839073-21839412	False	False	0	1	1	1	0	1	1	LR_RL	LR	0.11	24.7	0.958607314841775
NULL/chr2L_20624-20824__chr2L_3101225-3101432	False	False	1	1	1	1	1	1	1	BOTH	RR	0.22	24.7	0.6575773191777937
NULL/chr2L_20624-20824__chr2L_5105118-5105417	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.008	30.1	2.0969100130080562
NULL/chr2L_2162797-2163546__chr2L_17744617-17744940	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.064	27.4	1.193820026016113
NULL/chr2L_2162797-2163546__chr2L_3152131-3152363	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_2162797-2163546__chr2L_6017484-6017937	False	False	1	1	0	0	1	0	1	LL_RR	RR	0.006	28.3	2.221848749616356
NULL/chr2L_2162797-2163546__chr2L_6090073-6090445	False	False	1	0	1	1	0	1	1	LR_RL	RL	0.36	23.8	0.44369749923271273
NULL/chr2L_2164726-2165263__chr2L_13211918-13212118	False	False	0	0	0	1	0	0	0	NONE				
NULL/chr2L_2164726-2165263__chr2L_15332558-15332979	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.23	21.1	0.638272163982407
NULL/chr2L_2164726-2165263__chr2L_18329506-18330029	False	False	1	1	1	1	1	1	1	BOTH	LL	0.1	24.7	1.0
NULL/chr2L_2164726-2165263__chr2L_20473787-20474193	False	False	1	1	0	1	1	0	1	LL_RR	RR	0.064	27.4	1.193820026016113
NULL/chr2L_2164726-2165263__chr2L_6423550-6423750	False	False	0	1	0	1	0	0	0	NONE				
NULL/chr2L_2181980-2182476__chr2L_14453181-14453682	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_2181980-2182476__chr2L_14537085-14537454	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.018	28.3	1.744727494896694
NULL/chr2L_2731925-2732219__chr2L_16757034-16757234	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.22	25.6	0.6575773191777937
NULL/chr2L_2731925-2732219__chr2L_7300056-7300353	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_2731925-2732219__chr2L_7312164-7312502	False	False	1	1	1	1	1	1	1	BOTH	LL	0.003	30.1	2.5228787452803374
NULL/chr2L_2754369-2754751__chr2L_13205136-13205433	False	False	1	1	0	0	1	0	1	LL_RR	RR	3.51e-05	38.3	4.454692883534176
NULL/chr2L_2754369-2754751__chr2L_18977693-18978042	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.041	22.9	1.3872161432802645
NULL/chr2L_3095049-3095273__chr2L_12655423-12655623	False	False	1	1	1	1	1	1	1	BOTH	LL	0.064	27.4	1.193820026016113
NULL/chr2L_3095049-3095273__chr2L_14265078-14265431	False	False	1	1	1	1	1	1	1	BOTH	RL	0.000478	33.7	3.3205721033878812
NULL/chr2L_3095049-3095273__chr2L_3613425-3613748	False	False	1	1	0	0	1	0	1	LL_RR	LL	0.03	29.2	1.5228787452803376
NULL/chr2L_3101225-3101432__chr2L_14431426-14431854	False	False	1	1	1	1	1	1	1	BOTH	LR	0.000428	33.7	3.3685562309868278
NULL/chr2L_3101225-3101432__chr2L_8416468-8416668	False	False	1	1	1	1	1	1	1	BOTH	RR	0.018	29.2	1.744727494896694
NULL/chr2L_3101225-3101432__chr2L_8542173-8542517	False	False	1	1	1	1	1	1	1	BOTH	RR	0.064	27.4	1.193820026016113
NULL/chr2L_3108267-3108563__chr2L_15331388-15332093	False	False	1	1	1	1	1	1	1	BOTH	LR	0.012	26.5	1.9208187539523751
NULL/chr2L_3121835-3122035__chr2L_13254815-13255036	False	False	1	1	1	1	1	1	1	BOTH	RR	0.018	28.3	1.744727494896694
NULL/chr2L_3121835-3122035__chr2L_15322444-15322772	False	False	1	0	1	1	0	1	1	LR_RL	RL	0.064	27.4	1.193820026016113
NULL/chr2L_3121835-3122035__chr2L_19759686-19760051	False	False	0	0	0	0	0	0	0	NONE				
NULL/chr2L_3121835-3122035__chr2L_20339742-20340332	False	False	1	1	1	1	1	1	1	BOTH	LL	0.22	25.6	0.6575773191777937
NULL/chr2L_3121835-3122035__chr2L_5559752-5560284	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.22	25.6	0.6575773191777937
NULL/chr2L_3121835-3122035__chr2L_6411470-6411744	False	False	0	1	1	1	0	1	1	LR_RL	RL	0.064	26.5	1.193820026016113
NULL/chr2L_3152131-3152363__chr2L_11458598-11459020	False	False	0	1	0	0	0	0	0	NONE				
NULL/chr2L_3152131-3152363__chr2L_14447428-14447837	False	False	0	0	1	1	0	1	1	LR_RL	RL	0.39	22.9	0.4089353929735008
NULL/chr2L_3152131-3152363__chr2L_14540200-14540420	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.028	26.5	1.5528419686577808
NULL/chr2L_3153478-3153742__chr2L_15322444-15322772	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_3153478-3153742__chr2L_6015000-6015255	False	False	1	0	0	1	0	0	0	NONE				
NULL/chr2L_3153478-3153742__chr2L_9551353-9551553	False	False	1	1	0	1	1	0	1	LL_RR	RR	0.000428	34.6	3.3685562309868278
NULL/chr2L_3581785-3581985__chr2L_14434419-14434949	False	False	1	0	1	1	0	1	1	LR_RL	RL	0.064	26.5	1.193820026016113
NULL/chr2L_3581785-3581985__chr2L_21840673-21841262	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_3581785-3581985__chr2L_6411470-6411744	False	False	1	1	0	0	1	0	1	LL_RR	RR	0.018	29.2	1.744727494896694
NULL/chr2L_3581785-3581985__chr2L_6422856-6423068	False	False	1	0	1	1	0	1	1	LR_RL	LR	0.15	22.9	0.8239087409443188
NULL/chr2L_3581785-3581985__chr2L_8422167-8422367	False	False	1	1	1	1	1	1	1	BOTH	LR	0.018	29.2	1.744727494896694
NULL/chr2L_3581785-3581985__chr2L_8842046-8842771	False	False	0	1	1	0	0	0	0	NONE				
NULL/chr2L_3581785-3581985__chr2L_9988598-9989094	False	False	1	1	0	1	1	0	1	LL_RR	LL	0.22	24.7	0.6575773191777937
NULL/chr2L_3609083-3609283__chr2L_13260602-13260802	False	False	1	1	1	1	1	1	1	BOTH	RR	0.03	28.3	1.5228787452803376
NULL/chr2L_3609083-3609283__chr2L_16764311-16764631	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.018	28.3	1.744727494896694
NULL/chr2L_3609083-3609283__chr2L_18972587-18973068	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.009	31.0	2.0457574905606752
NULL/chr2L_3609083-3609283__chr2L_4282002-4282202	False	False	1	1	1	0	1	0	1	LL_RR	RR	0.11	26.5	0.958607314841775
NULL/chr2L_3609083-3609283__chr2L_7915086-7915342	False	False	1	0	1	1	0	1	1	LR_RL	RL	0.026	28.3	1.585026652029182
NULL/chr2L_3613425-3613748__chr2L_19215078-19215278	False	False	1	1	1	1	1	1	1	BOTH	RL	0.22	25.6	0.6575773191777937
NULL/chr2L_3613425-3613748__chr2L_6015000-6015255	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.03	28.3	1.5228787452803376
NULL/chr2L_3613425-3613748__chr2L_8841314-8841573	False	False	1	1	1	0	1	0	1	LL_RR	LL	0.28	22.0	0.5528419686577808
NULL/chr2L_3613425-3613748__chr2L_9558167-9558367	False	False	1	1	1	1	1	1	1	BOTH	RR	0.005	30.1	2.3010299956639813
NULL/chr2L_3631721-3632029__chr2L_13215675-13216164	False	False	1	0	1	0	0	0	0	NONE				
NULL/chr2L_3631721-3632029__chr2L_15323946-15324408	False	False	0	0	1	0	0	0	0	NONE				
NULL/chr2L_3631721-3632029__chr2L_18894031-18894287	False	False	0	0	0	0	0	0	0	NONE				
